name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-70,70-90,90-110,110-130,130-150,150-170,170-190,190-210,210-230,230-250,250-270,270-290,290-310,310-330,330-350,350-370,370-390
D6d0S3-F0d03-Vc15-MJ005-K08,3,0.03,15.0,J005,8,45.036252777287395,16.7619188949793,25.6028724406637,4.76812784168889,4.04856364760341,25793076.2271341,43364514.591029584,167406778.78868747,21907727.28523276,7702587.668156655,54121933.34089734,2825139.238063896,5658329.340076323,11754150.678223575,2439580.9086658983,1668405.2937208887,2112572.438507447,1611386.5326572456,1397669.2217175642,1919551.517301196,1921877.7510704328,1069612.4606447748
D6d0S3-F0d03-Vc15-MJ006-K08,3,0.03,15.0,J006,8,46.44722799681421,18.1728941145061,23.9158026046811,4.559532112717821,3.96667557060184,24358971.83419942,38406121.80495308,172574114.68408182,18688244.852067195,5601330.175644655,43695955.55650204,2702838.1318666497,4682332.507691013,8299945.694605044,1940614.9929111956,1925870.4323890482,1696246.9626811638,1859941.228758896,1707163.822693259,1317993.9990969172,1438657.3808596001,1087208.25827206
D6d0S3-F0d03-Vc15-MJ007-K09,3,0.03,15.0,J007,9,41.1455358979932,12.8734284268766,27.4755822861128,4.90116487129676,3.8522112228997702,23977753.94044548,39595261.59759648,102580798.37978008,19774973.176449254,5368544.335555255,37939729.08720911,2953451.2509914744,5440391.046645287,8176235.847214685,1594944.7413719082,1957622.1925892527,1382808.6848424957,1684476.577363602,1959204.2315603176,2002837.5928806304,1696581.2667597502,872596.9280088183
D6d0S3-F0d03-Vc15-MJ008-K09,3,0.03,15.0,J008,9,44.3286108227833,16.054276940475198,26.286344326839103,4.8924167091116795,4.04099463514938,32942321.02894527,53899091.64483363,109553968.69378927,21234511.35481296,7702823.03774519,37832356.26092227,3048092.2360538123,5290039.374708251,8731700.737564063,2488859.6576598138,2501225.118836563,2362221.194131406,1993396.870930729,2876145.5648595067,2632268.8730569063,1706180.2065321747,1352915.5926814494
D6d0S3-F0d03-Vc15-MJ009-K10,3,0.03,15.0,J009,10,44.761052740044406,16.486718857736303,23.870638256356106,4.52208569273762,3.95643744287125,22077258.823340174,38241026.22954758,146264705.86621317,19514795.959390912,5705440.592685362,47057083.43937876,2357361.7206874667,4722362.233770612,8635777.827260723,1592414.8161180704,1730019.6176206672,1601054.4998218894,1750423.3161121737,2546304.3229459017,1651282.5731081134,2077103.2365374763,1259865.87908479
D6d0S3-F0d03-Vc15-MJ010-K10,3,0.03,15.0,J010,10,45.5479315784225,17.2735976961143,27.4891478823906,4.69955340845541,3.94763888789464,30746638.971693315,43883570.58697479,110632312.13105153,18534583.891336504,6117329.957141383,33000849.41754702,2893000.3050590237,4474069.31106389,7496374.458080137,1842608.34353808,2019083.144421856,1908362.7856552915,2422667.3381576855,2449950.963191464,3167956.090439763,2291623.5101961517,2162476.1501643253
D6d0S3-F0d03-Vc30-MJ001-K06,3,0.03,30.0,J001,6,41.475386925006795,13.201053042698698,22.6932755768336,4.59718595967167,3.82511411809763,74673281.17918059,434209063.0069417,251109654.198694,71541870.1677044,58450788.35252044,48142356.79946738,9147342.35156586,7937464.827689403,27673624.48801103,11177017.42377046,10810253.67924204,4190426.82481855,3381718.25610142,3878779.761360202,2653793.4197758795,3728428.1850556144,2122112.0954297944
D6d0S3-F0d03-Vc30-MJ002-K06,3,0.03,30.0,J002,6,40.4569495132061,12.182615630897999,22.636037721721,4.271130657003891,3.68895479241256,77750103.31721139,471058173.58184975,146767056.92817158,34661456.15642667,19398452.76908512,28515186.56350961,2907003.0802446636,4413975.693090972,13127967.184621612,1965122.205283661,3328913.858663472,1855918.6274618825,1458711.5054061352,1776335.8810699885,1608868.356665606,1764144.6109501412,1961000.9262321158
D6d0S3-F0d03-Vc30-MJ003-K07,3,0.03,30.0,J003,7,43.6072980150767,15.3329641327685,24.8319890711472,4.47394242964374,3.9378557791688698,69753452.24367514,472286616.35650986,240187625.63727668,94433852.315597,38759183.71954452,32319883.90315064,11338615.171815753,11124426.171424162,56027901.20342232,13126060.292328535,11965827.072032414,8491425.165728483,3412422.24770624,2434398.0227915514,2298208.364691865,2526379.003173934,1936373.0574498682
D6d0S3-F0d03-Vc30-MJ004-K07,3,0.03,30.0,J004,7,43.54067677867349,15.266342896365302,28.322812258654103,4.7382559152149,3.7800652502278704,64218665.06396235,453376243.5298373,200641762.49242198,36591555.48931629,17726907.09662504,31250263.40640489,2499623.2468589707,3829592.636117943,11837570.805419495,1499228.482723806,3205822.158789084,2193389.940698704,1785830.5059398941,2070214.5927068687,1607509.8017871496,1181058.1757415307,984489.0235871695
D6d0S3-F0d03-Vc30-MJ005-K08,3,0.03,30.0,J005,8,48.2728287183314,19.998494836023198,33.2293292633911,4.98014612993496,4.1129045983063,65653026.21637162,571982912.5187299,490396130.3525376,198381429.1915525,73763485.83002906,62917067.24041401,25911187.263707705,26146830.88268489,122568405.33587152,52973783.8875208,38773423.0151794,19213169.864871915,7655489.690263228,2966627.2422107975,2635924.819924076,2692510.9410256487,2580963.019388224
D6d0S3-F0d03-Vc30-MJ006-K08,3,0.03,30.0,J006,8,47.4379531807397,19.1636192984315,26.893416547491004,4.89280154844666,4.08523819030932,75531730.6318301,438277535.20404416,125122142.90309682,37475528.8190952,16593381.81488578,23188933.72353193,3428936.6583569883,4963112.69703972,13592185.61113663,1790122.5483625703,3789589.9233868807,2290332.747796363,1396959.593348122,2063405.769013164,2081517.4684602737,1179021.001934327,979581.6665783705
D6d0S3-F0d03-Vc30-MJ007-K09,3,0.03,30.0,J007,9,41.977380690025704,13.7030468077176,26.440670777251807,4.72361606791737,3.95292659406895,69675563.48237778,526192532.05635566,236198057.81630185,127164585.05739954,48661385.45998809,39239315.10690229,12123513.289904818,17245857.589838244,65596654.41457755,29990881.78821375,24842326.55065527,14100457.181059245,5350711.410219228,3070378.828030687,3165010.8326888494,2860413.725280805,1948549.2466092969
D6d0S3-F0d03-Vc30-MJ008-K09,3,0.03,30.0,J008,9,40.7090934118973,12.4347595295891,25.960238719306503,4.764687944871531,3.8414952086053997,62365344.33883088,443570819.89521295,154144612.56900248,34715805.11947449,15569607.457398305,23548932.32618881,2919499.666905715,4331447.607237165,14525565.48541544,1924243.0158365555,3601412.8966431394,1759767.1524839932,1865987.3931307415,1882886.1769507842,1641394.611901489,1680669.6538878372,981778.6516626626
D6d0S3-F0d03-Vc30-MJ009-K10,3,0.03,30.0,J009,10,44.320971682837886,16.046637800529698,26.1601020026086,4.76814282949384,3.9778547126871495,71710266.31903768,444624251.8991387,126880288.5662234,40204776.71283685,18820422.47052116,23064552.85798203,5227048.849579425,6406574.244411865,18109699.344380613,3714549.209831858,5479699.9695505835,3498244.382654785,1941345.579577995,1797758.435447262,1868940.4146104453,1963779.363157711,1059548.5500956185
D6d0S3-F0d03-Vc30-MJ010-K10,3,0.03,30.0,J010,10,50.1835686376297,21.909234755321602,26.0075485619948,5.33735393103579,4.27896196022901,60396089.80120502,424717963.6083152,150279967.15073368,52952306.37886468,27645514.42026421,29784639.82313932,9116574.74424596,7998625.0434369715,27824088.640595663,7137439.908311839,8514211.981607351,4786068.508950735,2470963.947203502,2765370.3244624864,2660654.7227604054,1952618.7062220552,1532454.5284094075
