name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,180-190,190-200,200-210,210-220,220-230,230-240,240-250,250-260,260-270,270-280,280-290,290-300,300-310,310-320,320-330,330-340,340-350,350-360,360-370,370-380,380-390,390-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,942969.94750046,23089856.07952569,203408502.35239652,62618420.36554692,105995610.02268168,804651.2756743234,3532819.572114102,33556040.23150376,639618.1213334167,4515400.768570275,10441529.23024921,30736533.887938485,790412.514612141,307632.03334906115,1564083.3810627663,2669348.972510496,169394.67030325055,2372780.078024203,1319296.79235166,1318810.373585918,773853.1900872091,1188583.5569805535,694583.4177506143,1302472.9871879742,477842.45921878744,1155458.5128783674,485863.6926729321,1781580.160441556,446421.2575101004,1315607.440512564,418308.6287726661,644412.2065189243,225987.19873784,1088170.7261171602,221908.6081192125
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,848606.5650496576,36955682.40610401,193786990.3448574,39157250.57053736,173420395.6762327,602349.7997161461,5307522.2243961925,21486247.36294656,518778.48868789966,5893889.030755757,24771948.257927485,57867619.70814676,846767.7007771941,230267.6987067021,2094667.780363369,2253460.4981834185,228570.6659309452,3907589.8832738637,777461.3930251406,705990.587747538,1582412.4319185158,490667.3626946057,1022486.8028093107,671271.5348413972,612057.8812453784,833450.8846016583,608767.1927270662,907404.1318073312,713343.8187734364,1094558.5758297013,669615.3802718365,711435.1296168624,367601.1820128425,702867.7362367797,378520.5151060561
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,445113.7101814815,27587776.779605586,69922033.92099759,26286812.40858484,216852228.41468364,711381.5394803637,6007026.169571625,21683259.11972614,405397.4423913996,6155500.5915706875,27622535.90847296,67856307.87458022,812176.5547951305,265054.6549112207,2594108.856092729,2797994.067835377,136138.73890331536,4199908.037568745,710696.3998770255,950879.9252744996,1537752.0441642809,778518.1073696095,953732.8477903449,1325726.5158959883,347501.5133837573,1675683.2609236708,467633.1162504043,1781004.2491190392,413597.06915016787,1698291.991530797,394545.2494392975,776692.103312772,220670.3995405769,784280.0193721878,202345.4420853413
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,110734.63962203926,26275474.711016424,20766806.802216627,12049973.553459413,137726313.80924296,533960.1075790706,3227197.395570958,16320184.867640585,353955.13613788376,4892620.399710522,13604287.893681962,28811580.568103626,776155.4810352263,274609.34091203555,1680585.890626233,1600852.71185827,347870.5969216284,4586586.636142368,815676.6800631472,1072806.2406470878,1253997.7291501958,601139.6082282499,1096799.3412329957,797008.0281728401,941382.7482868658,1133219.4847137611,641182.9930711131,1250369.1683851632,792267.8497264916,1021173.0353207231,872620.9562179637,861106.6447739333,468855.2677811082,972299.3760804492,291087.75598636456
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,185434.90210241926,22420071.030040145,27670498.39155659,16299479.465368658,183349229.13583657,675462.2752453415,5567068.26615807,19295881.825070385,377293.74866823945,7492648.183684521,15414366.178499814,38356322.79999364,1278003.7022473759,391583.9468125151,2639527.0505041117,2396893.6200205786,182222.51799040366,6793639.591224145,733374.0384816005,1713325.4781002763,1593926.3517891015,968086.6158620614,1220653.704692858,1445836.2372972057,373314.2298526957,1524801.509214569,486993.86796718225,1704518.4519699626,411650.94342719263,1829417.724291591,430459.8138804775,998564.0528813356,280003.6358326721,932893.4497364204,205062.69337519922
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,709980.1710518092,34019511.58648295,104683286.25016052,26183021.66169504,183796923.5157089,607117.6995687154,4835786.289968873,18100095.575656854,411927.13287260046,8921148.694718294,19770726.12823524,27732202.108698256,1302996.8669838842,363255.1342178072,2398446.430254202,1986128.787811781,142783.71164351268,6973388.8611401925,634807.1762491653,1214515.3269784,1314850.1454403978,675126.9097617621,968843.5017307258,1081745.036671192,331610.7196266581,2132148.7163869957,510904.0147051404,2143478.155452137,453064.5491962298,1528561.9816241632,384756.33521734935,1316363.2839549652,293880.52774136903,611813.7681832282,195796.8518786585
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,458366.2203229794,29239313.30845444,61646832.52993089,22565986.49712865,193669286.79013517,537551.4662953636,4669019.295370277,16171813.805996815,364185.98290461156,8100822.17939317,24566018.74214512,28975409.75041412,1557028.4291323212,403591.16974214505,2616669.0551901897,2427020.580251355,178066.30301174193,8485957.691813678,623305.2106354836,1426744.6423590446,1216383.613584304,760649.6650780829,1032130.133400282,934632.90454803,383484.9556875044,1152129.939185287,504336.31765872537,1348580.4663200341,496410.1185755903,1421910.6553306615,443820.47373110935,1150224.7800160635,325376.98858614656,741538.162883457,236368.3956799197
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,599835.7823083536,35880071.25614011,68216643.83645134,22898882.69698099,156465215.14900652,462891.1733908544,3620330.966915785,13985540.21647972,309500.2212872545,8336416.251308592,22674192.780714802,20443780.213727728,1412961.394742039,286812.5687093151,2060631.127167928,2053447.38447033,153449.68730228837,7378189.317842472,568884.8072982506,1362431.2009697286,1370495.6012250404,593008.6219515004,785101.7189864211,732086.8558722113,316802.1787910149,1075039.2549576273,461575.09898407,760673.851426346,410190.89430537575,1051197.7645514985,399980.97754941136,488089.5232429928,280863.5626335147,585680.8079979722,209691.81539301656
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,662005.2511587623,40574492.68605716,115447187.03333288,34754230.319794394,164892634.77804443,511814.37559570424,4318823.342155807,19845751.334238406,438094.3380685927,6909356.08616915,20704623.25958804,28783451.67142893,2277913.628855771,259062.91240831843,2595002.616823645,2245690.458596382,205871.0657131989,6919865.083795691,586040.2745392435,1552089.4674154022,1229904.767782319,691348.9536402639,1125171.512138393,766107.4433457679,414309.2806720964,839107.3884792356,532673.9191944884,790855.9034771984,391634.76860068773,848180.0699318077,540796.0700056857,751560.8479392845,346523.65085559763,796770.0171815177,419888.6451915113
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,797478.8090910483,38336539.741611496,145511098.44691032,37480571.99023692,141584300.84912977,580640.5949486718,3866025.504689037,14409403.844124613,434854.3770392653,7592562.433842024,23747618.52440369,20792839.42097707,1532701.7222384063,349979.02972549153,2000301.9248905263,2734612.03049508,258137.88986517122,6520650.217659103,698347.6319227291,1128491.692355925,1224325.1109550192,888053.5038483988,917610.22025209,823146.3939747751,449343.00381216756,726432.9497035326,659649.4166368925,1175863.1737306316,665500.3735938317,1440300.407131616,548431.085555739,922882.8730412023,466147.6340809377,464179.3102618046,442713.39970270963
