name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-80,80-110,110-140,140-170,170-200,200-230,230-260,260-290,290-320,320-350,350-380,380-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,227552659.8551674,169509126.7248039,37698578.255175136,45473048.15128484,2651968.692606393,5211372.016908798,3408965.144174523,3163166.6815607306,2052018.938664904,3516247.106367696,1261025.416602891,1293519.2085786785
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,231689531.12497213,213295377.74464065,27293143.95291702,88364049.9614619,3163629.194009718,6390575.307167658,3062084.578673656,2168521.916621723,2029619.2045106296,2701103.6558548007,1736992.7493493513,1074589.2206547065
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,97987652.30073038,244003162.1230512,28106870.61265514,100979099.74973856,3657424.840714304,7130724.97766587,3167628.9666229887,3053971.6687082923,2483069.10983508,3887280.2507685767,1386248.9022621077,979598.2213137123
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,47169179.37031797,150346954.70954287,19903498.55493571,47051414.17561451,2723652.4197954107,6528526.621174941,3102275.1639770106,2495015.6817586487,2713092.127219116,3056723.925446796,2200633.0748453964,1257759.1170881195
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,50278341.922097795,200453137.8041789,25248294.036572546,60949322.66392044,4304241.876501993,9367227.877082083,4024700.5055042636,3610858.9542819713,2374972.068606341,3936318.4942619633,1696888.5567343244,1122197.297265673
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,139450015.19569227,210707351.56716764,23296437.99123103,56325962.87438277,4029525.8331227913,9099151.186129838,3145725.055232156,2688224.112636105,2972730.8457998717,4120154.36893346,1990310.2379689119,796363.0603503321
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,91357083.53867953,216902192.58389127,21202144.04684207,61586431.28512982,4540360.113599365,11094943.013932582,3245452.009385488,2688048.588217794,2038760.5651736616,3250251.332950012,1912973.5391516413,977176.6091318356
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,104748221.12290892,179941509.66523945,17899952.969453108,51473480.51721671,3734660.384613277,9575066.455731926,3288548.874945546,2101556.680584723,1851094.138968481,2217444.825824948,1164267.2396728434,789755.262245863
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,156736028.11011836,200276426.55811483,24599765.03212011,56362885.08578718,5128712.12614998,9363560.91477924,3367623.838289322,2568386.132857683,1776572.2780908225,2012449.253416551,1628327.6535332138,1217111.7459079705
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,184683100.5704969,179734404.6843353,18648668.809800263,51809747.32979282,3857774.832482107,9473885.133955184,3041499.111843956,2586872.287686468,1821415.2725661632,3257453.45080643,1927991.0223454481,902257.1216594686
