,name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd
12,D6d0S1-F0d03-Vc30d0-MJ003-K02,1,0.03,30.0,J003,02,42.5188666578585,14.2445327755503,25.1635847866556,4.72763301850611,3.93653245450706
13,D6d0S1-F0d03-Vc30d0-MJ004-K02,1,0.03,30.0,J004,02,45.471552329699605,17.1972184473914,34.054660287988604,5.22233487564496,3.97420710772495
14,D6d0S1-F0d03-Vc30d0-MJ005-K03,1,0.03,30.0,J005,03,40.93006557816079,12.6557316958526,27.246460583296198,4.74536185611085,3.8996471311245298
15,D6d0S1-F0d03-Vc30d0-MJ006-K03,1,0.03,30.0,J006,03,40.471959021811294,12.1976251395031,33.729316722282704,4.89987777675259,3.8791090675837703
16,D6d0S1-F0d03-Vc30d0-MJ007-K04,1,0.03,30.0,J007,04,43.221153572468396,14.946819690160199,27.3566548701692,4.83295911803986,3.92606283714688
17,D6d0S1-F0d03-Vc30d0-MJ008-K04,1,0.03,30.0,J008,04,41.0140034658587,12.739669583550501,25.385757245084896,4.4554970843967805,3.7715576989105295
18,D6d0S1-F0d03-Vc30d0-MJ009-K05,1,0.03,30.0,J009,05,40.834440842880795,12.5601069605726,26.464503185267603,4.407721334351151,3.7393199656527205
19,D6d0S1-F0d03-Vc30d0-MJ010-K05,1,0.03,30.0,J010,05,41.0172345951987,12.742900712890599,25.354097759478197,4.4183766928899,3.78047095991064
20,D6d0S1-F0d03-Vc45d0-MJ001-K01,1,0.03,45.0,J001,01,42.6475766237093,14.3732427414011,24.4666662185016,4.53085753694069,3.8273100265205096
21,D6d0S1-F0d03-Vc45d0-MJ002-K01,1,0.03,45.0,J002,01,46.298880340639705,18.024546458331603,25.856006408997303,4.78345035281771,4.08929883253317
22,D6d0S1-F0d03-Vc45d0-MJ003-K02,1,0.03,45.0,J003,02,45.2094010461977,16.9350671638896,25.8354230186762,4.68958878531853,4.06105327761124
23,D6d0S1-F0d03-Vc45d0-MJ004-K02,1,0.03,45.0,J004,02,40.726827138318,12.4524932560099,25.759899746164198,5.044124137276951,3.86531885294881
24,D6d0S1-F0d03-Vc45d0-MJ005-K03,1,0.03,45.0,J005,03,41.5754535575766,13.3011196752684,23.236567558252002,4.64922922401726,3.8587877094201297
25,D6d0S1-F0d03-Vc45d0-MJ006-K03,1,0.03,45.0,J006,03,41.124855171641606,12.850521289333502,28.8551335109334,4.91514448773795,3.89758161867807
26,D6d0S1-F0d03-Vc45d0-MJ007-K04,1,0.03,45.0,J007,04,44.551887489075,16.2775536067668,26.299550691014105,4.7187101740239505,3.8964094941416203
27,D6d0S1-F0d03-Vc45d0-MJ008-K04,1,0.03,45.0,J008,04,46.148367194680205,17.874033312372,26.0286511517898,4.910684171798231,3.96694675841956
28,D6d0S1-F0d03-Vc45d0-MJ009-K05,1,0.03,45.0,J009,05,44.997688551365,16.7233546690569,26.8048611083007,4.941099678020519,3.97640233155236
29,D6d0S1-F0d03-Vc45d0-MJ010-K05,1,0.03,45.0,J010,05,45.291551723980206,17.0172178416721,26.2898767891187,4.7407994573167,3.9810504318171502
30,D6d0S1-F0d03-Vc60d0-MJ001-K01,1,0.03,60.0,J001,01,42.588187970412704,14.3138540881045,23.627520838903603,4.6556905578092005,3.92908144875826
31,D6d0S1-F0d03-Vc60d0-MJ002-K01,1,0.03,60.0,J002,01,43.1635881092278,14.889254226919599,24.495767363653396,4.45675475731078,3.9288402422816002
32,D6d0S1-F0d03-Vc60d0-MJ003-K02,1,0.03,60.0,J003,02,46.5481622924193,18.2738284101111,25.0037926704664,4.64870392318248,4.00502156036967
33,D6d0S1-F0d03-Vc60d0-MJ004-K02,1,0.03,60.0,J004,02,41.4147077354144,13.1403738531063,23.7105222279601,4.34397404000292,3.79396819707232
34,D6d0S1-F0d03-Vc60d0-MJ005-K03,1,0.03,60.0,J005,03,42.858121718320795,14.5837878360127,25.594669335378498,4.7486316973749405,3.85563949814101
35,D6d0S1-F0d03-Vc60d0-MJ006-K03,1,0.03,60.0,J006,03,38.5074002719611,10.233066389652901,26.4835111479677,4.48913253957949,3.6665068705899397
36,D6d0S1-F0d03-Vc60d0-MJ007-K04,1,0.03,60.0,J007,04,42.6396660669338,14.3653321846257,25.7070936260549,4.55711699744285,3.7911016814895295
37,D6d0S1-F0d03-Vc60d0-MJ008-K04,1,0.03,60.0,J008,04,48.1632067027245,19.8888728204164,26.5925155043155,4.95093464365176,4.00159344853167
38,D6d0S1-F0d03-Vc60d0-MJ009-K05,1,0.03,60.0,J009,05,43.099374668269206,14.825040785961098,24.847609058763197,4.41795329438129,3.8958695295094103
39,D6d0S1-F0d03-Vc60d0-MJ010-K05,1,0.03,60.0,J010,05,46.003649040179006,17.729315157870897,28.4063779950811,5.190916534342519,4.037812929414169
