Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ001-K11_DU,Split.D6d0S4-F0d09-Vc15d0-MJ001-K11_DU,Point.121,6.0,4,0.09,15.0,J001,11_DU,46.7454744048754,18.4711405225673,27.0538539848777,5.13611423370594,4.08553612619762
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ002-K11_DU,Split.D6d0S4-F0d09-Vc15d0-MJ002-K11_DU,Point.135,6.0,4,0.09,15.0,J002,11_DU,45.6758119296844,17.4014780473763,26.1277860212038,5.02148176532772,4.08493504765608
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ003-K12_DU,Split.D6d0S4-F0d09-Vc15d0-MJ003-K12_DU,Point.168,6.0,4,0.09,15.0,J003,12_DU,49.337207686116,21.0628738038079,27.054465260806,4.70175523556576,4.17538427523566
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ004-K12_DU,Split.D6d0S4-F0d09-Vc15d0-MJ004-K12_DU,Point.23,6.0,4,0.09,15.0,J004,12_DU,51.4867220415333,23.2123881592252,37.7349854966516,6.50796104661941,4.30477745342707
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ005-K13_DU,Split.D6d0S4-F0d09-Vc15d0-MJ005-K13_DU,Point.46,6.0,4,0.09,15.0,J005,13_DU,48.5316558174264,20.2573219351182,33.7184454350774,5.38788027610847,4.14262003102717
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ006-K13_DU,Split.D6d0S4-F0d09-Vc15d0-MJ006-K13_DU,Point.12,6.0,4,0.09,15.0,J006,13_DU,52.5414746192661,24.267140736958,33.5862867110061,5.12258208566897,4.25001035007327
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ007-K14_DU,Split.D6d0S4-F0d09-Vc15d0-MJ007-K14_DU,Point.18,6.0,4,0.09,15.0,J007,14_DU,46.9135927167512,18.6392588344431,26.9105461081268,5.07616685199161,4.12131841327608
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ008-K14_DU,Split.D6d0S4-F0d09-Vc15d0-MJ008-K14_DU,Point.20,6.0,4,0.09,15.0,J008,14_DU,46.4703988570104,18.1960649747022,27.9804407344468,4.97579703561751,4.01726072576357
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ009-K15_DU,Split.D6d0S4-F0d09-Vc15d0-MJ009-K15_DU,Point.18,6.0,4,0.09,15.0,J009,15_DU,43.5538017409419,15.2794678586337,25.5437563251964,4.65903594935336,3.93415507397893
DU-D6d0S4-F0d09-Vc15d0,D6d0S4-F0d09-Vc15d0-MJ010-K15_DU,Split.D6d0S4-F0d09-Vc15d0-MJ010-K15_DU,Point.5,6.0,4,0.09,15.0,J010,15_DU,48.2377156149446,19.9633817326365,26.7645458942896,4.879899337926,4.16059513366914
