Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ001-K11_DU,Split.D6d0S4-F0d09-Vc30d0-MJ001-K11_DU,Point.58,6.0,4,0.09,30.0,J001,11_DU,54.7236435522719,26.4493096699638,42.312767227612,5.41958205750769,4.42642149655003
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ002-K11_DU,Split.D6d0S4-F0d09-Vc30d0-MJ002-K11_DU,Point.142,6.0,4,0.09,30.0,J002,11_DU,49.2735360093859,20.9992021270777,26.4707066387391,5.19425222423116,4.23096306329935
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ003-K12_DU,Split.D6d0S4-F0d09-Vc30d0-MJ003-K12_DU,Point.194,6.0,4,0.09,30.0,J003,12_DU,50.2177514610839,21.9434175787757,26.4500488322466,4.83361353174958,4.14682875638263
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ004-K12_DU,Split.D6d0S4-F0d09-Vc30d0-MJ004-K12_DU,Point.14,6.0,4,0.09,30.0,J004,12_DU,48.3432707464587,20.0689368641506,27.8490292514134,4.82765119982351,4.04375999742764
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ005-K13_DU,Split.D6d0S4-F0d09-Vc30d0-MJ005-K13_DU,Point.17,6.0,4,0.09,30.0,J005,13_DU,47.5218628462626,19.2475289639544,28.2660064515767,4.88554156455216,4.12836902379586
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ006-K13_DU,Split.D6d0S4-F0d09-Vc30d0-MJ006-K13_DU,Point.12,6.0,4,0.09,30.0,J006,13_DU,47.1455993184807,18.8712654361725,29.5717848777265,5.00181031526538,4.17469644458299
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ007-K14_DU,Split.D6d0S4-F0d09-Vc30d0-MJ007-K14_DU,Point.22,6.0,4,0.09,30.0,J007,14_DU,44.3875207941961,16.1131869118879,27.3881556191142,4.98479559286365,4.07500259026336
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ008-K14_DU,Split.D6d0S4-F0d09-Vc30d0-MJ008-K14_DU,Point.23,6.0,4,0.09,30.0,J008,14_DU,47.5164621321775,19.2421282498694,29.3885162440796,5.01060102117439,4.11929000316176
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ009-K15_DU,Split.D6d0S4-F0d09-Vc30d0-MJ009-K15_DU,Point.25,6.0,4,0.09,30.0,J009,15_DU,42.6501754303418,14.3758415480337,27.0283318663136,4.63427886885043,3.92128708485401
DU-D6d0S4-F0d09-Vc30d0,D6d0S4-F0d09-Vc30d0-MJ010-K15_DU,Split.D6d0S4-F0d09-Vc30d0-MJ010-K15_DU,Point.7,6.0,4,0.09,30.0,J010,15_DU,45.1483440122959,16.8740101299878,28.2586270697649,4.86595321777501,4.00479623294886
