Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ001-K11_DU,Split.D6d0S4-F0d03-Vc60d0-MJ001-K11_DU,Point.54,6.0,4,0.03,60.0,J001,11_DU,47.146223705341,18.8718898230328,52.0557414451468,5.0904690184033,4.04193635719104
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ002-K11_DU,Split.D6d0S4-F0d03-Vc60d0-MJ002-K11_DU,Point.65,6.0,4,0.03,60.0,J002,11_DU,45.3309309640776,17.0565970817695,48.6054259046601,4.94800971466294,3.96469726211282
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ003-K12_DU,Split.D6d0S4-F0d03-Vc60d0-MJ003-K12_DU,Point.343,6.0,4,0.03,60.0,J003,12_DU,47.4120026789552,19.137668796647,25.9701539211179,4.87450268311823,4.06686831291651
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ004-K12_DU,Split.D6d0S4-F0d03-Vc60d0-MJ004-K12_DU,Point.68,6.0,4,0.03,60.0,J004,12_DU,52.1896079964136,23.9152741141054,32.598956507875,5.16756439310523,4.27704469950412
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ005-K13_DU,Split.D6d0S4-F0d03-Vc60d0-MJ005-K13_DU,Point.10,6.0,4,0.03,60.0,J005,13_DU,49.8543231966405,21.5799893143324,31.9338844429449,5.86558682158319,4.33296764539184
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ006-K13_DU,Split.D6d0S4-F0d03-Vc60d0-MJ006-K13_DU,Point.28,6.0,4,0.03,60.0,J006,13_DU,48.4195575799866,20.1452236976785,26.3998139578707,4.74109823185761,4.06681575933388
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ008-K14_DU,Split.D6d0S4-F0d03-Vc60d0-MJ008-K14_DU,Point.32,6.0,4,0.03,60.0,J008,14_DU,43.7312885888793,15.4569547065712,28.7591930754391,5.35428697505657,4.04701036999305
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ009-K15_DU,Split.D6d0S4-F0d03-Vc60d0-MJ009-K15_DU,Point.10,6.0,4,0.03,60.0,J009,15_DU,47.0656838917604,18.7913500094523,28.5851693851981,5.11179905640817,4.15920731803732
DU-D6d0S4-F0d03-Vc60d0,D6d0S4-F0d03-Vc60d0-MJ010-K15_DU,Split.D6d0S4-F0d03-Vc60d0-MJ010-K15_DU,Point.17,6.0,4,0.03,60.0,J010,15_DU,45.8103612198569,17.5360273375488,28.9300329928604,4.78910066177477,4.16195528682356
