Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ001-K06_DU,Split.D6d0S3-F0d06-Vc60d0-MJ001-K06_DU,Point.180,6.0,3,0.06,60.0,J001,06_DU,42.9284622663446,14.6541283840365,24.0243464505849,4.45939907152867,3.97709706676251
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ002-K06_DU,Split.D6d0S3-F0d06-Vc60d0-MJ002-K06_DU,Point.159,6.0,3,0.06,60.0,J002,06_DU,41.6933693705652,13.4190354882571,22.8521963848105,4.31398183092693,3.78863044913825
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ003-K07_DU,Split.D6d0S3-F0d06-Vc60d0-MJ003-K07_DU,Point.129,6.0,3,0.06,60.0,J003,07_DU,48.7937742946153,20.5194404123073,24.6478631099075,4.8666717960088,4.26723603531711
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ004-K07_DU,Split.D6d0S3-F0d06-Vc60d0-MJ004-K07_DU,Point.39,6.0,3,0.06,60.0,J004,07_DU,44.6502778331499,16.3759439508417,27.8042032190583,5.01766917782198,3.9115911737255
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ005-K08_DU,Split.D6d0S3-F0d06-Vc60d0-MJ005-K08_DU,Point.7,6.0,3,0.06,60.0,J005,08_DU,48.5050170014955,20.2306831191874,26.2385587705412,4.60215244330634,4.04034990789224
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ006-K08_DU,Split.D6d0S3-F0d06-Vc60d0-MJ006-K08_DU,Point.9,6.0,3,0.06,60.0,J006,08_DU,52.058162637381,23.7838287550729,29.8126642338043,5.39741472440425,4.29379146727786
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ007-K09_DU,Split.D6d0S3-F0d06-Vc60d0-MJ007-K09_DU,Point.30,6.0,3,0.06,60.0,J007,09_DU,42.8976477081781,14.62331382587,28.1173631457365,4.67620459654763,3.94797373995076
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ008-K09_DU,Split.D6d0S3-F0d06-Vc60d0-MJ008-K09_DU,Point.23,6.0,3,0.06,60.0,J008,09_DU,42.4694745453099,14.1951406630018,25.9546630619942,4.49307923154108,3.83610524861285
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ009-K10_DU,Split.D6d0S3-F0d06-Vc60d0-MJ009-K10_DU,Point.12,6.0,3,0.06,60.0,J009,10_DU,46.3666134709945,18.0922795886864,25.2575723563896,4.61262270478734,4.0635209750802
DU-D6d0S3-F0d06-Vc60d0,D6d0S3-F0d06-Vc60d0-MJ010-K10_DU,Split.D6d0S3-F0d06-Vc60d0-MJ010-K10_DU,Point.11,6.0,3,0.06,60.0,J010,10_DU,44.445966587657,16.1716327053489,24.5238932581905,4.26062744402494,3.95973925318274
