Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ001-K01_DU,Split.D6d0S1-F0d09-Vc15d0-MJ001-K01_DU,Point.173,6.0,1,0.09,15.0,J001,01_DU,46.1874717661361,17.913137883828,44.5493018954401,5.23730904809429,4.09552997608437
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ002-K01_DU,Split.D6d0S1-F0d09-Vc15d0-MJ002-K01_DU,Point.164,6.0,1,0.09,15.0,J002,01_DU,44.3403398434663,16.0660059611582,37.9220117425862,5.12367604443311,3.94390644484873
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ003-K02_DU,Split.D6d0S1-F0d09-Vc15d0-MJ003-K02_DU,Point.297,6.0,1,0.09,15.0,J003,02_DU,45.237814299966,16.9634804176579,26.3605866633995,5.03676092286972,4.07055975940806
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ004-K02_DU,Split.D6d0S1-F0d09-Vc15d0-MJ004-K02_DU,Point.70,6.0,1,0.09,15.0,J004,02_DU,43.055790505139,14.7814566228309,33.2960340063166,5.04830272741745,3.84658937307928
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ005-K03_DU,Split.D6d0S1-F0d09-Vc15d0-MJ005-K03_DU,Point.41,6.0,1,0.09,15.0,J005,03_DU,42.9363657115517,14.6620318292436,30.9225781195518,4.81303952011496,3.89494142987993
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ006-K03_DU,Split.D6d0S1-F0d09-Vc15d0-MJ006-K03_DU,Point.37,6.0,1,0.09,15.0,J006,03_DU,41.3341153135493,13.0597814312412,27.4354216317049,4.72217988658675,3.85307518853175
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ007-K04_DU,Split.D6d0S1-F0d09-Vc15d0-MJ007-K04_DU,Point.7,6.0,1,0.09,15.0,J007,04_DU,42.6716205058883,14.3972866235801,26.4693727351674,4.4548782262547,3.83028588484344
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ008-K04_DU,Split.D6d0S1-F0d09-Vc15d0-MJ008-K04_DU,Point.34,6.0,1,0.09,15.0,J008,04_DU,42.1477632198259,13.8734293375177,27.6998375506504,4.87141916202959,3.90210173907173
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ009-K05_DU,Split.D6d0S1-F0d09-Vc15d0-MJ009-K05_DU,Point.5,6.0,1,0.09,15.0,J009,05_DU,43.2689785739332,14.994644691625,27.4814184715982,4.92730152986967,3.93290202776231
DU-D6d0S1-F0d09-Vc15d0,D6d0S1-F0d09-Vc15d0-MJ010-K05_DU,Split.D6d0S1-F0d09-Vc15d0-MJ010-K05_DU,Point.27,6.0,1,0.09,15.0,J010,05_DU,43.3154751603631,15.041141278055,26.102425578677,4.6083994352622,3.95061135413348
