Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ001-K06_DU,Split.D6d0S3-F0d09-Vc30d0-MJ001-K06_DU,Point.9,6.0,3,0.09,30.0,J001,06_DU,42.1812495869236,13.9069157046155,35.2780851292305,4.40764878909895,3.74479969569723
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ002-K06_DU,Split.D6d0S3-F0d09-Vc30d0-MJ002-K06_DU,Point.12,6.0,3,0.09,30.0,J002,06_DU,45.0468265499618,16.7724926676537,38.3385455802866,4.77000935705474,3.94103303223649
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ003-K07_DU,Split.D6d0S3-F0d09-Vc30d0-MJ003-K07_DU,Point.10,6.0,3,0.09,30.0,J003,07_DU,44.0352250836621,15.7608912013539,38.5773553009374,4.76952530799162,3.92824450138084
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ004-K07_DU,Split.D6d0S3-F0d09-Vc30d0-MJ004-K07_DU,Point.39,6.0,3,0.09,30.0,J004,07_DU,46.7095393128522,18.435205430544,32.5356614398901,4.8941477337743,4.0984100402292
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ005-K08_DU,Split.D6d0S3-F0d09-Vc30d0-MJ005-K08_DU,Point.40,6.0,3,0.09,30.0,J005,08_DU,51.1625168462149,22.8881829639067,31.5808241099063,5.08767191266272,4.29613911965407
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ006-K08_DU,Split.D6d0S3-F0d09-Vc30d0-MJ006-K08_DU,Point.66,6.0,3,0.09,30.0,J006,08_DU,48.0799133028377,19.8055794205295,24.4966105624824,5.03723540252672,4.20647486909172
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ007-K09_DU,Split.D6d0S3-F0d09-Vc30d0-MJ007-K09_DU,Point.23,6.0,3,0.09,30.0,J007,09_DU,39.9864978577949,11.7121639754867,24.730740875797,4.42646251316997,3.78169876924484
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ008-K09_DU,Split.D6d0S3-F0d09-Vc30d0-MJ008-K09_DU,Point.28,6.0,3,0.09,30.0,J008,09_DU,40.813013735359,12.5386798530508,27.0774682600267,4.63819486094027,3.74658929466616
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ009-K10_DU,Split.D6d0S3-F0d09-Vc30d0-MJ009-K10_DU,Point.23,6.0,3,0.09,30.0,J009,10_DU,47.3484366665673,19.0741027842591,24.9931011827366,5.09791290414086,4.13131407897646
DU-D6d0S3-F0d09-Vc30d0,D6d0S3-F0d09-Vc30d0-MJ010-K10_DU,Split.D6d0S3-F0d09-Vc30d0-MJ010-K10_DU,Point.24,6.0,3,0.09,30.0,J010,10_DU,45.1501605422076,16.8782309732007,26.8629182841446,5.10786256420307,4.08132787924415
