Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ001-K06_DU,Split.D6d0S3-F0d09-Vc60d0-MJ001-K06_DU,Point.60,6.0,3,0.09,60.0,J001,06_DU,47.4793209565656,19.2049870742574,50.972288283628,5.29326618293257,4.06246394608004
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ002-K06_DU,Split.D6d0S3-F0d09-Vc60d0-MJ002-K06_DU,Point.30,6.0,3,0.09,60.0,J002,06_DU,45.5261282883417,17.2517944060336,52.4448785146603,4.96797139617073,4.03743895289456
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ003-K07_DU,Split.D6d0S3-F0d09-Vc60d0-MJ003-K07_DU,Point.244,6.0,3,0.09,60.0,J003,07_DU,45.5941744666535,17.3198405843454,43.0803456137705,4.85762866521003,3.97087131696484
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ004-K07_DU,Split.D6d0S3-F0d09-Vc60d0-MJ004-K07_DU,Point.9,6.0,3,0.09,60.0,J004,07_DU,46.769560205201,18.4952263228928,28.3972843293711,5.10781438589338,4.02832232484661
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ005-K08_DU,Split.D6d0S3-F0d09-Vc60d0-MJ005-K08_DU,Point.36,6.0,3,0.09,60.0,J005,08_DU,50.0010856048348,21.7267517225267,28.5563228182332,4.92827240388024,4.15611863704107
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ006-K08_DU,Split.D6d0S3-F0d09-Vc60d0-MJ006-K08_DU,Point.27,6.0,3,0.09,60.0,J006,08_DU,50.136706034071,21.8623721517628,29.0593129377368,5.27026889195197,4.23263683593867
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ007-K09_DU,Split.D6d0S3-F0d09-Vc60d0-MJ007-K09_DU,Point.26,6.0,3,0.09,60.0,J007,09_DU,42.6805905843481,14.4062567020399,28.7543224898093,4.88963705938872,3.96605387944321
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ008-K09_DU,Split.D6d0S3-F0d09-Vc60d0-MJ008-K09_DU,Point.25,6.0,3,0.09,60.0,J008,09_DU,43.598509562591,15.3241756802828,26.2229236130257,5.02675579125878,3.97179856852705
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ009-K10_DU,Split.D6d0S3-F0d09-Vc60d0-MJ009-K10_DU,Point.24,6.0,3,0.09,60.0,J009,10_DU,49.7639049416737,21.4895710593656,28.5237728437146,5.03157532426532,4.25893687581134
DU-D6d0S3-F0d09-Vc60d0,D6d0S3-F0d09-Vc60d0-MJ010-K10_DU,Split.D6d0S3-F0d09-Vc60d0-MJ010-K10_DU,Point.4,6.0,3,0.09,60.0,J010,10_DU,49.1839148382482,20.90958095594,27.1277463614351,4.69741946096508,4.21929285584636
