Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ001-K06_DU,Split.D6d0S3-F0d09-Vc15d0-MJ001-K06_DU,Point.26,6.0,3,0.09,15.0,J001,06_DU,44.0830740385073,15.8087401561991,38.7035666638341,4.73768456808143,3.91322251409718
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ002-K06_DU,Split.D6d0S3-F0d09-Vc15d0-MJ002-K06_DU,Point.25,6.0,3,0.09,15.0,J002,06_DU,44.5260418674515,16.2517079851434,40.3624455808279,4.81914252791571,3.92757413286206
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ003-K07_DU,Split.D6d0S3-F0d09-Vc15d0-MJ003-K07_DU,Point.22,6.0,3,0.09,15.0,J003,07_DU,42.5584820617111,14.2841481794029,38.4867162053007,5.34154237877102,3.78183048344662
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ004-K07_DU,Split.D6d0S3-F0d09-Vc15d0-MJ004-K07_DU,Point.50,6.0,3,0.09,15.0,J004,07_DU,45.6158538000457,17.3415199177376,31.5467797720226,5.18746156931699,3.99066784831988
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ005-K08_DU,Split.D6d0S3-F0d09-Vc15d0-MJ005-K08_DU,Point.8,6.0,3,0.09,15.0,J005,08_DU,50.8161338480474,22.5417999657393,28.0411852130614,4.98180280855402,4.24573919178387
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ006-K08_DU,Split.D6d0S3-F0d09-Vc15d0-MJ006-K08_DU,Point.29,6.0,3,0.09,15.0,J006,08_DU,48.1686944497696,19.8943605674614,27.2044480017563,4.66126956974729,4.09736651724653
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ007-K09_DU,Split.D6d0S3-F0d09-Vc15d0-MJ007-K09_DU,Point.11,6.0,3,0.09,15.0,J007,09_DU,44.3643299714564,16.0899960891483,28.7328139413033,4.79563182603829,4.04881407015557
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ008-K09_DU,Split.D6d0S3-F0d09-Vc15d0-MJ008-K09_DU,Point.5,6.0,3,0.09,15.0,J008,09_DU,40.1930269836682,11.91869310136,26.9406146007884,4.59136493616069,3.78474529153985
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ009-K10_DU,Split.D6d0S3-F0d09-Vc15d0-MJ009-K10_DU,Point.6,6.0,3,0.09,15.0,J009,10_DU,48.5885195990173,20.3141857167092,29.413715734452,4.93018938999914,4.18631105732279
DU-D6d0S3-F0d09-Vc15d0,D6d0S3-F0d09-Vc15d0-MJ010-K10_DU,Split.D6d0S3-F0d09-Vc15d0-MJ010-K10_DU,Point.11,6.0,3,0.09,15.0,J010,10_DU,47.295422068756,19.0210881864479,26.1072883637333,4.72491220434289,4.15616946694076
