Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ001-K01_DU,Split.D6d0S1-F0d12-Vc45d0-MJ001-K01_DU,Point.791,6.0,1,0.12,45.0,J001,01_DU,41.9829599670829,13.7086260847748,25.7039255802381,4.69144604496858,3.82271878405986
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ002-K01_DU,Split.D6d0S1-F0d12-Vc45d0-MJ002-K01_DU,Point.961,6.0,1,0.12,45.0,J002,01_DU,46.885550425866,18.6112165435578,29.5714781995016,5.02993538317246,4.0964576286757
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ003-K02_DU,Split.D6d0S1-F0d12-Vc45d0-MJ003-K02_DU,Point.512,6.0,1,0.12,45.0,J003,02_DU,44.2175755746372,15.9432416923291,25.4507973091391,5.04187848654931,3.93063716746026
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ004-K02_DU,Split.D6d0S1-F0d12-Vc45d0-MJ004-K02_DU,Point.38,6.0,1,0.12,45.0,J004,02_DU,46.8258659403484,18.5515320580403,28.4053303468058,5.00493694417887,4.093875567174
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ005-K03_DU,Split.D6d0S1-F0d12-Vc45d0-MJ005-K03_DU,Point.39,6.0,1,0.12,45.0,J005,03_DU,44.6273439952613,16.3530101129532,28.3102553612091,5.0386296324281,4.04089956279974
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ006-K03_DU,Split.D6d0S1-F0d12-Vc45d0-MJ006-K03_DU,Point.20,6.0,1,0.12,45.0,J006,03_DU,40.8215832027967,12.5472493204886,25.5230073121901,4.77180999791774,3.81154052580995
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ007-K04_DU,Split.D6d0S1-F0d12-Vc45d0-MJ007-K04_DU,Point.10,6.0,1,0.12,45.0,J007,04_DU,45.2397023385503,16.9653684562422,29.1321359418732,5.04852602630731,4.11544098102457
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ008-K04_DU,Split.D6d0S1-F0d12-Vc45d0-MJ008-K04_DU,Point.36,6.0,1,0.12,45.0,J008,04_DU,45.5557914554633,17.2814575731552,28.8980766338843,5.02757535148425,4.06321948843105
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ009-K05_DU,Split.D6d0S1-F0d12-Vc45d0-MJ009-K05_DU,Point.26,6.0,1,0.12,45.0,J009,05_DU,42.6381334747733,14.3637995924651,26.0961893713275,4.98893808883692,3.91820052031616
DU-D6d0S1-F0d12-Vc45d0,D6d0S1-F0d12-Vc45d0-MJ010-K05_DU,Split.D6d0S1-F0d12-Vc45d0-MJ010-K05_DU,Point.22,6.0,1,0.12,45.0,J010,05_DU,44.5207799806039,16.2464460982958,25.8236822900935,4.84900539934536,4.03691507935363
