Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ001-K11_DU,Split.D6d0S4-F0d12-Vc45d0-MJ001-K11_DU,Point.44,6.0,4,0.12,45.0,J001,11_DU,43.2531243836914,14.9787905013833,70.0940832175928,5.18706736118716,3.92800803573414
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ002-K11_DU,Split.D6d0S4-F0d12-Vc45d0-MJ002-K11_DU,Point.201,6.0,4,0.12,45.0,J002,11_DU,46.4339913296676,18.1596574473594,77.9663299704137,5.36907630822219,4.02105409722234
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ003-K12_DU,Split.D6d0S4-F0d12-Vc45d0-MJ003-K12_DU,Point.84,6.0,4,0.12,45.0,J003,12_DU,49.8820341849276,21.6077003026195,64.4815382726523,5.34339395260018,4.19981752248948
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ004-K12_DU,Split.D6d0S4-F0d12-Vc45d0-MJ004-K12_DU,Point.7,6.0,4,0.12,45.0,J004,12_DU,45.1887791234069,16.9144452410988,28.549568705086,4.7746668756907,4.01914997075408
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ005-K13_DU,Split.D6d0S4-F0d12-Vc45d0-MJ005-K13_DU,Point.12,6.0,4,0.12,45.0,J005,13_DU,45.2633492267754,16.9890153444672,28.7971856980023,4.81074504793322,4.03329192838731
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ006-K13_DU,Split.D6d0S4-F0d12-Vc45d0-MJ006-K13_DU,Point.9,6.0,4,0.12,45.0,J006,13_DU,46.5246271180946,18.2502932357865,26.5011637302347,4.73247859448639,4.03562342236498
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ008-K14_DU,Split.D6d0S4-F0d12-Vc45d0-MJ008-K14_DU,Point.6,6.0,4,0.12,45.0,J008,14_DU,45.0026056627012,16.7282717803931,27.6519488580533,4.82669445918155,4.07196572596373
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ009-K15_DU,Split.D6d0S4-F0d12-Vc45d0-MJ009-K15_DU,Point.3,6.0,4,0.12,45.0,J009,15_DU,43.9991701578294,15.7248362755212,26.049470583096,4.72016401683784,3.95302659050545
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ010-K15_DU,Split.D6d0S4-F0d12-Vc45d0-MJ010-K15_DU,Point.24,6.0,4,0.12,45.0,J010,15_DU,45.027836959157,16.7535030768489,26.9229593890408,4.76682773317946,3.97317478664129
DU-D6d0S4-F0d12-Vc45d0,D6d0S4-F0d12-Vc45d0-MJ007-K14_DU,Split.D6d0S4-F0d12-Vc45d0-MJ007-K14_DU,Point.27,6.0,4,0.12,45.0,J007,14_DU,48.9932099726771,20.7188760903689,27.7585682811742,4.80179414466181,4.1430864228865
