Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ001-K11_DU,Split.D6d0S4-F0d03-Vc45d0-MJ001-K11_DU,Point.130,6.0,4,0.03,45.0,J001,11_DU,45.6439731811781,17.3696392988699,41.5296012384767,6.41570777802237,4.19855229294511
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ002-K11_DU,Split.D6d0S4-F0d03-Vc45d0-MJ002-K11_DU,Point.34,6.0,4,0.03,45.0,J002,11_DU,46.1566426726559,17.8823087903478,46.0439718772297,5.22927700477161,4.08413235064689
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ003-K12_DU,Split.D6d0S4-F0d03-Vc45d0-MJ003-K12_DU,Point.193,6.0,4,0.03,45.0,J003,12_DU,48.7637785693345,20.4894446870263,22.0559380497583,4.68716085238901,4.08344057751232
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ004-K12_DU,Split.D6d0S4-F0d03-Vc45d0-MJ004-K12_DU,Point.99,6.0,4,0.03,45.0,J004,12_DU,50.9661044760752,22.691770593767,22.3883728998067,4.82140709589853,4.2352137612756
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ005-K13_DU,Split.D6d0S4-F0d03-Vc45d0-MJ005-K13_DU,Point.9,6.0,4,0.03,45.0,J005,13_DU,47.0186564014096,18.7443225191015,26.7286327078371,4.90046705821123,4.13577762387893
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ006-K13_DU,Split.D6d0S4-F0d03-Vc45d0-MJ006-K13_DU,Point.39,6.0,4,0.03,45.0,J006,13_DU,44.387100515764,16.1127666334559,28.2979218481076,4.99952212577214,3.99571983143312
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ007-K14_DU,Split.D6d0S4-F0d03-Vc45d0-MJ007-K14_DU,Point.24,6.0,4,0.03,45.0,J007,14_DU,42.2360113786167,13.9620753205943,26.4890805328011,4.62589205166907,3.87513208264633
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ008-K14_DU,Split.D6d0S4-F0d03-Vc45d0-MJ008-K14_DU,Point.14,6.0,4,0.03,45.0,J008,14_DU,44.3024619047681,16.0281280224599,26.7558981079173,4.78396263614047,4.0658477967421
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ009-K15_DU,Split.D6d0S4-F0d03-Vc45d0-MJ009-K15_DU,Point.11,6.0,4,0.03,45.0,J009,15_DU,46.3221880666837,18.0478541843756,26.1888938614044,4.68919467060868,4.18497550477439
DU-D6d0S4-F0d03-Vc45d0,D6d0S4-F0d03-Vc45d0-MJ010-K15_DU,Split.D6d0S4-F0d03-Vc45d0-MJ010-K15_DU,Point.20,6.0,4,0.03,45.0,J010,15_DU,47.6504345742924,19.3761006919842,28.4180483336148,4.88231192435912,4.14183467239725
