Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ001-K06_DU,Split.D6d0S3-F0d12-Vc30d0-MJ001-K06_DU,Point.88,6.0,3,0.12,30.0,J001,06_DU,48.7700880520323,20.4957541697243,37.4870234525919,5.18515940015133,4.08066515865496
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ002-K06_DU,Split.D6d0S3-F0d12-Vc30d0-MJ002-K06_DU,Point.138,6.0,3,0.12,30.0,J002,06_DU,47.4789899694811,19.204656087173,51.1640284870062,5.09488280850414,4.17731888487584
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ003-K07_DU,Split.D6d0S3-F0d12-Vc30d0-MJ003-K07_DU,Point.177,6.0,3,0.12,30.0,J003,07_DU,45.6861019815084,17.4117680992002,26.5160434904136,4.91748939584418,4.03786759740948
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ004-K07_DU,Split.D6d0S3-F0d12-Vc30d0-MJ004-K07_DU,Point.45,6.0,3,0.12,30.0,J004,07_DU,45.201590179679,16.9272562973709,28.7896322592548,4.92488426121675,4.00162609073092
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ005-K08_DU,Split.D6d0S3-F0d12-Vc30d0-MJ005-K08_DU,Point.11,6.0,3,0.12,30.0,J005,08_DU,50.5054399321007,22.2311060497926,31.8998840732236,5.21319598831292,4.26809770519307
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ006-K08_DU,Split.D6d0S3-F0d12-Vc30d0-MJ006-K08_DU,Point.38,6.0,3,0.12,30.0,J006,08_DU,51.7553210399948,23.4809871576867,33.1326408811266,5.54181710174131,4.28205507525802
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ007-K09_DU,Split.D6d0S3-F0d12-Vc30d0-MJ007-K09_DU,Point.11,6.0,3,0.12,30.0,J007,09_DU,46.1226092651984,17.8482753828903,30.1610562234364,5.01494813552437,4.0586946515442
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ008-K09_DU,Split.D6d0S3-F0d12-Vc30d0-MJ008-K09_DU,Point.3,6.0,3,0.12,30.0,J008,09_DU,43.0755157030251,14.801181820717,27.146759079062,4.60072159126761,3.86207702785225
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ009-K10_DU,Split.D6d0S3-F0d12-Vc30d0-MJ009-K10_DU,Point.34,6.0,3,0.12,30.0,J009,10_DU,49.822422129231,21.5480882469228,29.2093547602985,5.35502389575171,4.2849768880464
DU-D6d0S3-F0d12-Vc30d0,D6d0S3-F0d12-Vc30d0-MJ010-K10_DU,Split.D6d0S3-F0d12-Vc30d0-MJ010-K10_DU,Point.28,6.0,3,0.12,30.0,J010,10_DU,49.939638273489,21.6653043911808,29.2338168491444,5.26410880644547,4.27617422894524
