Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ001-K01_DU,Split.D6d0S1-F0d09-Vc60d0-MJ001-K01_DU,Point.236,6.0,1,0.09,60.0,J001,01_DU,42.3492550135414,14.0749211312332,24.6461526250921,4.84936878680665,3.93908163524798
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ002-K01_DU,Split.D6d0S1-F0d09-Vc60d0-MJ002-K01_DU,Point.296,6.0,1,0.09,60.0,J002,01_DU,46.2031836125888,17.9288497302807,43.1211345082754,5.37059864565237,3.9951817576833
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ003-K02_DU,Split.D6d0S1-F0d09-Vc60d0-MJ003-K02_DU,Point.50,6.0,1,0.09,60.0,J003,02_DU,46.4958066210766,18.2214727387684,38.6934303996389,5.08984951508129,3.93948513277944
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ004-K02_DU,Split.D6d0S1-F0d09-Vc60d0-MJ004-K02_DU,Point.54,6.0,1,0.09,60.0,J004,02_DU,42.1551994336611,13.880865551353,31.8054312249423,4.73966278466908,3.81246027872676
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ005-K03_DU,Split.D6d0S1-F0d09-Vc60d0-MJ005-K03_DU,Point.42,6.0,1,0.09,60.0,J005,03_DU,44.6767870200888,16.4024531377807,27.5682473665057,4.95851957868657,3.94334654763805
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ006-K03_DU,Split.D6d0S1-F0d09-Vc60d0-MJ006-K03_DU,Point.5,6.0,1,0.09,60.0,J006,03_DU,41.0932304399498,12.8191963690336,28.9093949519647,4.83425942412346,3.86042400779099
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ007-K04_DU,Split.D6d0S1-F0d09-Vc60d0-MJ007-K04_DU,Point.10,6.0,1,0.09,60.0,J007,04_DU,44.6633796239459,16.3890457416377,32.5218307825345,5.06026107164533,3.99658372172995
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ008-K04_DU,Split.D6d0S1-F0d09-Vc60d0-MJ008-K04_DU,Point.8,6.0,1,0.09,60.0,J008,04_DU,44.2142931594811,15.939959277173,27.5723617573136,4.7720244534444,3.9700575055766
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ009-K05_DU,Split.D6d0S1-F0d09-Vc60d0-MJ009-K05_DU,Point.13,6.0,1,0.09,60.0,J009,05_DU,44.7085732408389,16.4342393585308,30.1824235493267,5.23927221520861,3.99276207198216
DU-D6d0S1-F0d09-Vc60d0,D6d0S1-F0d09-Vc60d0-MJ010-K05_DU,Split.D6d0S1-F0d09-Vc60d0-MJ010-K05_DU,Point.5,6.0,1,0.09,60.0,J010,05_DU,46.810034955193,18.5357010728849,27.8649098123047,4.84261674934173,4.07183699264249
