Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ001-K06_DU,Split.D6d0S3-F0d03-Vc45d0-MJ001-K06_DU,Point.861,6.0,3,0.03,45.0,J001,06_DU,45.8743557568012,17.6000218744931,20.8447545310172,4.56481237680755,3.98960995375162
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ002-K06_DU,Split.D6d0S3-F0d03-Vc45d0-MJ002-K06_DU,Point.575,6.0,3,0.03,45.0,J002,06_DU,44.004041095591,15.7297072132829,24.6250287360013,4.72917696994709,3.93126083099505
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ003-K07_DU,Split.D6d0S3-F0d03-Vc45d0-MJ003-K07_DU,Point.1105,6.0,3,0.03,45.0,J003,07_DU,41.433672275287,13.1640154155204,19.4323413848471,4.3290326336465,3.85050873896358
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ004-K07_DU,Split.D6d0S3-F0d03-Vc45d0-MJ004-K07_DU,Point.40,6.0,3,0.03,45.0,J004,07_DU,47.1865708334965,18.9122369511884,30.7849181270323,4.71284357110128,4.00050650047527
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ005-K08_DU,Split.D6d0S3-F0d03-Vc45d0-MJ005-K08_DU,Point.50,6.0,3,0.03,45.0,J005,08_DU,51.9598115387425,23.6854776564344,26.4074719902025,4.71524183838681,4.19330611281055
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ006-K08_DU,Split.D6d0S3-F0d03-Vc45d0-MJ006-K08_DU,Point.28,6.0,3,0.03,45.0,J006,08_DU,48.1684430519731,19.8941091696649,27.4346184948627,5.3714643310896,4.08888854757787
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ007-K09_DU,Split.D6d0S3-F0d03-Vc45d0-MJ007-K09_DU,Point.35,6.0,3,0.03,45.0,J007,09_DU,41.128044461798,12.8537105794899,28.3231680115564,4.95886226493607,3.82027962891058
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ008-K09_DU,Split.D6d0S3-F0d03-Vc45d0-MJ008-K09_DU,Point.28,6.0,3,0.03,45.0,J008,09_DU,40.7266134603161,12.4522795780079,27.646070108219,4.6907211331471,3.87505482095806
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ009-K10_DU,Split.D6d0S3-F0d03-Vc45d0-MJ009-K10_DU,Point.5,6.0,3,0.03,45.0,J009,10_DU,46.8287904487179,18.5544565664098,25.9499427094649,4.79940151475171,4.1262376262612
DU-D6d0S3-F0d03-Vc45d0,D6d0S3-F0d03-Vc45d0-MJ010-K10_DU,Split.D6d0S3-F0d03-Vc45d0-MJ010-K10_DU,Point.39,6.0,3,0.03,45.0,J010,10_DU,46.4463580219873,18.1720241396792,25.1196445644512,4.49762787486715,4.01537807414703
