Body,Sketch,Fill,Point,Promjer,Sx,Posmak,Brzina_rezanja,Uzorak,Mjerenje,Fill_Povrsina,Split_povrsina,Opseg_delminacije,MaxD,AvgD
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ001-K06_DU,Split.D6d0S3-F0d06-Vc15d0-MJ001-K06_DU,Point.324,6.0,3,0.06,15.0,J001,06_DU,42.3752072047381,14.1008733224299,26.3121675689499,4.47629145343522,3.86195054293219
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ002-K06_DU,Split.D6d0S3-F0d06-Vc15d0-MJ002-K06_DU,Point.250,6.0,3,0.06,15.0,J002,06_DU,44.0678073386775,15.7959023007485,23.7102908758997,4.96164978807064,4.09936440664993
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ003-K07_DU,Split.D6d0S3-F0d06-Vc15d0-MJ003-K07_DU,Point.302,6.0,3,0.06,15.0,J003,07_DU,45.1562254782518,16.8818915959437,18.598660611763,4.72625165127286,3.94081969119761
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ004-K07_DU,Split.D6d0S3-F0d06-Vc15d0-MJ004-K07_DU,Point.16,6.0,3,0.06,15.0,J004,07_DU,46.6415457694368,18.3672118871286,37.5194676594161,5.4516303542973,4.1171863654342
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ005-K08_DU,Split.D6d0S3-F0d06-Vc15d0-MJ005-K08_DU,Point.32,6.0,3,0.06,15.0,J005,08_DU,47.2160385995949,18.9417047172867,29.4799442904819,5.05972759159872,4.12597547765655
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ006-K08_DU,Split.D6d0S3-F0d06-Vc15d0-MJ006-K08_DU,Point.11,6.0,3,0.06,15.0,J006,08_DU,48.2812602665019,20.0069263841938,28.5418847133148,4.70731493667239,4.12681742422221
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ007-K09_DU,Split.D6d0S3-F0d06-Vc15d0-MJ007-K09_DU,Point.29,6.0,3,0.06,15.0,J007,09_DU,41.9715279333172,13.697194051009,27.4599191879715,4.58394085074561,3.92888519970291
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ008-K09_DU,Split.D6d0S3-F0d06-Vc15d0-MJ008-K09_DU,Point.6,6.0,3,0.06,15.0,J008,09_DU,42.1575256840857,13.9163505981764,25.7481416029505,4.64609880674844,3.96238061304527
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ009-K10_DU,Split.D6d0S3-F0d06-Vc15d0-MJ009-K10_DU,Point.7,6.0,3,0.06,15.0,J009,10_DU,47.0388350180247,18.7645011357166,25.8486613956864,4.84438900735929,4.07436144131142
DU-D6d0S3-F0d06-Vc15d0,D6d0S3-F0d06-Vc15d0-MJ010-K10_DU,Split.D6d0S3-F0d06-Vc15d0-MJ010-K10_DU,Point.16,6.0,3,0.06,15.0,J010,10_DU,43.4765874098122,15.202253527504,24.0974373465315,4.1669811220688,3.79397750479283
