name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-65,65-80,80-95,95-110,110-125,125-140,140-155,155-170,170-185,185-200,200-215,215-230,230-245,245-260,260-275,275-290,290-305,305-320,320-335,335-350,350-365,365-380,380-395
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,5598316.977062037,3962006.5204777024,3609545.0035471767,4038207.618652751,2078729.2379976544,2200852.977552218,2878934.793058703,4553855.764287459,3099792.2277774783,8359566.0112828035,7041769.643919484,3653804.082735156,5923203.89714554,2106873.079681475,4585267.848515009,3003356.411682409,4332245.368216076,4825954.37734823,5928956.91080086,6898262.219158896,5876636.829696846,7724051.214146057,7633752.78719145
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,8689421.883834282,5336570.635144373,2843869.6428629817,3277183.9473227933,4142249.0854835236,3866785.0011196025,5586511.732213846,4112768.7933916235,4074566.260095352,14334589.630202275,12200307.281257786,4809738.444808014,5161503.018542458,2257676.1078431536,3036647.014005498,3935372.030371063,3343265.476054992,4218571.929080317,7343229.714203732,10019975.518728813,4849081.126208727,9084100.932878558,8571439.342839548
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,6210285.110340321,5515338.599834562,5696462.131127899,3665562.345630475,2760018.358378815,2040545.427408536,5014857.748901655,5269038.028938992,2356477.523611979,14115454.943287807,10884450.562063493,4493000.481924153,6102683.7314637825,3347777.4315850614,4518340.420069977,2708509.193834164,3157424.889115415,2765537.737896969,3595729.203710992,3124607.360222678,5300639.44086147,4342240.387925937,5839280.735688168
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,12118128.466161914,5118864.577211495,5216140.219542746,3205087.010822882,3270598.9218193083,5057857.707287887,3893063.9684417862,5962522.481395292,5891274.734101253,8642634.614036294,14412680.82515543,4487257.059013248,4750402.40147336,3387305.83561503,3158474.8493831623,2477181.0536122737,3959839.197486866,2362651.32366965,4340308.648907628,4727138.4671879485,4465045.722788302,5861663.6928488165,3556888.2089886614
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,7610000.036456962,5017520.406074876,2513904.9932157914,3594891.632464501,3010502.467918973,4655275.167732823,5038324.2696695,5125929.883596919,5462172.2555556735,10422612.16978087,8750332.746638421,7171938.445358389,4568624.595027146,4649542.02124216,3956188.362237626,3925034.6828113836,4482550.2916327715,3724702.070449237,4257177.136402979,1895133.92491854,7092839.262708503,4587162.347410808,3484490.6881898693
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,3439405.6738178767,4745338.330772592,5118189.957695959,4801403.529065413,2385115.213456198,3872148.911773345,4968131.137718202,3589004.235326484,4432624.452947158,5527353.8882478,9899576.985280953,5527501.023064966,6580536.081375969,5795270.019795403,2997396.608028938,3687748.23148236,4038100.0240419568,3654126.9408987937,1896393.909125328,5429181.73911122,4534783.785035775,5357255.668076308,8185533.617956253
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,10478014.266046396,5779058.684334525,2710182.6959885317,4489702.390586746,3038237.7231413187,3939430.1887451913,4123015.729907184,3818590.310026876,4474517.127198428,7297903.584312253,10442652.498691553,5382016.786925383,6024353.138502233,3145354.410220216,3041358.1654482707,3938568.9187070737,4345254.085341219,5120127.858753605,5848511.220227464,5046797.20887578,7110505.750590057,6965967.649264612,6719587.33195567
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,4225148.684407828,3317382.481293872,1955929.1490981115,2764093.75789662,2782904.262731606,3418917.5693180324,3765154.9662279217,4994868.7371842265,5197315.077366194,7601668.1458872575,7623181.297000472,3933276.70363916,4513214.467659272,2797285.3276558057,1958552.6828448959,3476166.083419248,3372513.6134304083,3853485.80778293,3241991.6908911555,6488865.631760201,5395928.753639923,5014983.041207917,5840612.736727622
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,6503663.4005188085,3596423.0134801967,4574407.616105408,4511235.639301696,4163908.31599908,3934427.879008915,3679648.7192196767,4046141.1735662683,3272017.7048903788,13298145.275374187,12185775.313123055,4892361.427041763,4691238.487242603,3474604.00405522,2532649.174276966,2216167.312119667,3498490.992711404,2964249.601495441,4354874.127154768,4706131.4735344015,6833665.362774213,5937154.012077531,7710928.964603078
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,9068376.293339305,5697137.134706085,5953443.908187054,3932217.8682870665,2856013.5037089568,3929869.0807199636,2512658.1770813777,3723199.2793663945,4583616.837508781,16045531.554102242,13994031.476168538,5597099.882055813,3835790.655731829,3341098.941004503,3253471.677148953,2989433.663292278,2991521.256560046,4287527.542823815,5115306.712828478,5166291.139393214,5436054.057603465,4085045.3277240507,5684161.137513536
