name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200-205,205-210,210-215,215-220,220-225,225-230,230-235,235-240,240-245,245-250,250-255,255-260,260-265,265-270,270-275,275-280,280-285,285-290,290-295,295-300,300-305,305-310,310-315,315-320,320-325,325-330,330-335,335-340,340-345,345-350,350-355,355-360,360-365,365-370,370-375,375-380,380-385,385-390,390-395,395-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,636133.8151964813,555790.4845179182,1116248.3911569759,806435.6435850826,308453.73368799506,349854.6573127265,542244.7392403452,269638.2345931935,460189.34594695177,332403.9222746343,607990.7152623443,805781.578976375,182140.05134177825,276459.1184141274,332833.32750206627,157699.37951219865,281911.9832602978,325655.1620161257,239903.5780474229,229206.80324663015,543074.2189218601,541802.7386052904,471330.82783424953,815503.2872211385,357749.62836552045,409576.5570101438,428524.12684374937,317273.0458913456,324011.60982274753,2283983.77061045,1627108.343481813,698069.6991674929,519366.7679772741,359412.71273786953,294883.8605448416,620639.8267876032,1158633.346522635,614326.5818929157,610877.6141786763,259175.3297724959,174490.79712332576,299391.24663779786,604179.1659386527,536445.0864190281,635399.5003413559,246076.978358064,412428.17193160974,426280.8359206879,483583.4209857063,580738.4169860504,482777.3558066096,476960.1141672176,594852.3113280855,566756.5392312618,1002185.2504042236,274241.1069371899,721852.7379876297,947254.92108955,964872.1721586931,784009.107807234,704245.1466246138,737745.3497099219,621210.1916539271,1040540.3725634434,1190268.2163652128,720926.0944080859,981073.8354856169,338291.67634579114,1333482.9955076252,4286769.774859297
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,459332.6047636276,1137243.8740283418,1628141.1752842397,665933.0718896841,574032.2282523016,694275.7732088179,347184.3548057,352711.74892663024,321609.94200460444,391588.1233518664,359005.3148901742,440925.6912534143,540408.5391153743,512267.9974859651,477108.7909646257,259810.87415550518,585044.2789755604,536621.6286853964,530195.557561536,698142.6910843296,793524.7915977747,826235.1937319336,488160.9530782146,421951.8383667507,610897.7224453904,462115.69631788967,495068.93744203047,549349.1540461564,1533941.5713295431,3507769.95885876,2587811.483948593,907071.3074073987,1038175.0455812231,808267.344484732,374594.6282433033,484173.69279908255,539955.5313332055,496813.52510036476,822229.644032346,289000.8324093183,195971.8200991604,281787.24025353213,240007.7997250352,497783.7284179232,510155.4804046556,615377.2390160302,396075.7367529338,405810.54312508827,609170.1062395022,334771.61908710474,328890.8779546969,601378.646799847,660647.2004444198,340750.0029551178,643103.2557736889,491016.5542338355,1430547.890364354,1948999.4284946544,845378.9545203744,681899.6199132443,576328.5061485904,603725.6938288551,552670.4322447238,696057.8683100948,1832671.9263247624,1314081.6418866795,865108.8672268456,1258722.1956864565,1238855.1685359157,3789157.14764708
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,484791.3964128225,561385.2667858817,1157284.31585834,846088.2240874764,740792.3679921315,617058.6221561928,490976.76305479073,990266.4696898544,687178.7303157526,690129.1623998311,657023.5468591603,194659.09253350896,366687.34112096304,337798.6008445405,323197.38015769084,142940.68934733176,332985.5968358509,317799.6460661057,996207.6447871878,483416.3503831274,402697.6821666505,492631.61499960674,819518.0488115204,451723.9009116517,303059.97844066896,417408.0441565468,139361.09949097238,471487.075376956,426309.553286844,3859833.8379372633,2861050.4781259964,628280.0994757151,483790.2180501282,427008.6668794832,373480.3478509357,804898.4604629144,1565745.839006831,573909.3359473945,174654.08699996368,243938.7469469829,451515.30705897603,528019.3393718592,806006.7469226164,445797.6620794449,466302.8144812211,368725.19113114313,159837.7665059413,412066.9032675399,652626.722341315,276866.0466990439,359514.3657051164,243181.2344320745,377299.04335243604,340936.56810708786,604518.434793558,353985.9343880168,452092.7056616463,299363.97846217,525948.5497771767,271745.2952680257,454252.68448332115,951042.8789252726,581012.1486635964,644109.2248553257,508545.0530722976,336630.4641851385,206138.91924652774,804087.7122079008,1349684.1394785815,3584650.547984893
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,921133.7628723716,1503907.3432026147,2265548.0363269467,529432.8409093148,845837.3925707093,650910.3216767064,863806.5141051619,363473.69917055813,604415.9745506501,486286.0549865253,291884.57513194816,416818.6705982281,226578.20078364038,427667.8222764036,555241.4102597488,534662.0663364854,519083.9847893859,716252.4392421462,251840.0083610666,596284.9648574346,603045.6140538931,366475.55104628217,664800.9813839875,1050419.439237797,1087704.0970713764,313487.92750254384,610106.1373403111,484427.96469746047,762945.4094535527,1767741.38184353,4089633.3867434124,618762.5367438347,382146.56721974985,571952.2882246315,399525.49005612044,676099.1109498816,759639.4695167448,610951.3660288915,480461.9098985076,527133.6420138928,397784.6051959211,308769.65088051837,440471.99797221256,472905.37393621384,394689.5168455716,586214.1873168264,396542.87196858006,145959.9649597318,584359.6374996271,593883.9604136817,220104.59208689988,208068.87603255146,179477.74474491144,412761.0964004449,382184.0587895849,428646.88793216244,883381.3911251455,749471.0140205564,637151.7216067932,326416.3908696436,246139.08072251274,587097.0706530892,795599.6476891151,949187.7016324016,717037.4743861866,470853.5076136964,599171.1069546649,347541.2602670834,312452.5512315589,2618264.443914336
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,918011.6464338752,945743.5466839784,1103389.12222344,638144.5589669686,664838.2685416148,426431.69527201046,184963.44354658455,330525.2884420364,352459.3974149928,622687.9277488865,313493.6893826776,371907.4362634718,399650.0887128792,243343.9518805623,378754.3573237218,320120.0208960022,798030.8491249656,634484.1701456339,579618.8333026932,498569.7213451296,647667.1983473095,296977.61190056393,412935.0170216976,1031847.5527682838,1092408.1151502728,555657.2325715788,427097.69355470384,343716.33983124845,370779.7434013,2872104.5521332743,1975847.491723279,717405.0846035756,692144.109249424,358926.4040559698,1494024.4179169438,1028848.0688858924,595794.2378303873,337408.8353161383,709515.6289845698,558547.1313410371,477418.6146622,757592.4408104031,718805.9437157669,246287.6209648493,445389.1817538167,412875.0396581721,589447.4151510396,556358.5349504275,554742.5374803229,389377.9530640605,646500.1790315049,502734.32374341507,611953.1728505199,257739.61252200487,642814.820387612,622434.7778396322,289108.41628109803,135572.76230086182,292704.44254318014,333030.4994567816,1091109.0644287935,658361.3115955017,999341.1670778404,733429.0641623413,548081.4754929198,404274.2371569611,199659.2577710069,617677.3699365644,443310.7276658564,2554841.115981693
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,346120.1723075516,400063.6659477453,569770.3451152154,685369.8846711842,378783.447339813,542054.5478856445,648658.6554059183,1327659.9803906712,239948.42754816852,870940.7008231916,444681.86223808967,356739.3577976381,213299.93113216863,309291.8356656899,434835.2350883574,532654.0348642531,337434.56307177467,563043.2056693741,1009122.2475178285,439198.7431986308,428340.9673808043,337874.77268024976,594984.5131821162,350551.41080921725,629459.1000857544,321931.8566900437,608886.2521828476,255862.3354369581,204717.10062032173,1412992.8320361224,2494568.3196700425,347524.3465138691,521852.24351731077,605430.3151662914,757187.637937218,826670.2898543839,662592.2186683242,1077252.3439720736,777861.0906907645,435049.56870977173,921454.180076719,666683.8754478239,535463.5501460156,205624.2507424788,326365.42730331357,418745.0961628218,374967.37966216134,535164.8117688061,471008.2968575635,458761.8979334826,490652.7596215071,514452.6416205482,445126.00371916697,446330.5435470925,269150.3917076477,172266.5463889396,199049.57789356788,584756.0803250012,799940.9079742309,658671.7959259028,620145.7838899258,804325.1989671083,319545.5717450381,663539.1819505985,883360.9538814124,667443.6408322364,970904.6606627741,1010733.788323108,1059168.0388321823,4606784.386602211
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,1366031.5899934478,1156187.0498111355,1459608.8067676746,918459.1611278992,770564.3697021395,750051.986578929,486712.3774966862,288863.88147355994,275193.8384414104,588761.5033803424,513784.3107656224,553860.8880421778,392322.0514799557,367872.985120624,429955.5320823767,607263.9533685164,457374.98231642117,391622.45970762346,727121.555846199,273641.4890877213,420793.7915589565,403058.2611590136,203523.65816972734,774655.652187727,566543.8365849953,676820.6017767815,490441.4789162331,728594.715829698,765174.6864041951,1235922.5409503821,2530495.978306123,790252.8534603711,462036.6035074348,480992.2638580737,646217.2439509443,940461.30372503,1245513.5085011243,762599.292068172,195587.91911524977,330166.78134854237,423101.8740085455,347791.65289455105,473955.95145724295,402232.9586123536,268927.9241227002,249172.6818805153,607815.7523029281,709271.3734426544,618200.34247834,673036.502650998,466797.82494911616,739754.1929845313,722459.0040056881,601686.5291891105,1203135.4419049716,371269.443150741,527172.5545848925,911451.0166809956,938659.2235280595,378898.33270896657,527449.7411403134,646998.262820725,1492375.9690200854,859862.3732734785,965947.7644310992,720039.0668858886,448227.650406576,1022134.6463108808,1229074.6029137096,8139758.283194522
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,216562.41422175628,621127.9179308508,654129.1458413827,148554.52456890198,674593.8266760614,322266.9733619254,247720.1799546461,249162.13437136845,273582.10118288087,307448.05437194486,518527.1090051613,407535.25295601424,521289.0744010382,463104.6491708761,235295.23951924074,411454.83903706603,337370.7897745001,489967.6637911965,357393.91514036286,327726.96944295283,700050.524111959,562459.6224207357,605775.3533741238,690888.6034038243,625696.1159183978,714705.0258809106,563215.8752226452,257419.4936343341,846097.6494971606,1667852.2500999828,1608504.032470767,686706.03974436,293849.40426312765,324850.32145687577,349310.7192635535,730956.4592869445,618029.9512959053,685135.5513360765,388468.1878234802,402829.7599201757,277888.4941809137,434064.4074521669,262867.23428469244,132242.71127006545,285968.30370156985,413454.2040757574,742155.7329942483,305506.61370271357,581561.4350366304,177123.34835657926,425525.2936920767,381668.6754742892,494703.3346861955,428750.55453648017,367521.5782524096,325300.3491763836,654028.6999462353,801978.5416108675,869242.7606794416,582022.3800025692,553619.5312703562,1076294.6285384966,352911.90722509305,756092.7870812325,279194.9563979849,742264.7566447762,592967.2547392112,829440.4322554922,652273.4577595643,1543341.458565346
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,459766.630414862,441127.0483135957,1342231.7758158192,396836.8142590854,430260.5535295344,440359.7233337232,483375.854955665,538975.5841724462,542561.4063531628,793367.5305201947,369609.8303957169,518667.9571510253,342152.7005180296,460574.6651913039,821584.9364048017,578728.9234037375,407343.88371366967,512962.4384751722,727183.55922094,504052.3065261053,213401.70067462785,295753.8813286365,395519.10405687295,746735.7839430454,254262.5961963169,342535.7092279741,551236.9884457954,547729.502147575,268956.6219645653,3673225.891510375,2602145.4921558984,1392310.714092903,586405.4390712514,528921.8385433911,855031.8404883866,291273.219503769,467591.92146214686,717404.5222375148,538762.7420398154,270999.16563759616,467367.2191831232,462854.6931101114,613971.9440021183,209568.336280547,107301.40694093746,146837.1709649577,392300.84537307906,205453.27755844375,394468.39552713593,626470.1612050821,244702.40068233965,194297.22256129165,330685.8525678406,618795.9185177629,616072.8997728176,615441.881736929,261458.3070607993,357236.63956153,799046.0604419148,636001.3524706442,499926.8340869765,1249217.9880885042,671835.1079188392,906371.5630654434,693033.5658021222,426848.2169061018,412351.6533183976,1130269.8468811968,1203542.419628367,8934298.854837507
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,534698.9753952418,913598.2988510007,1949504.217568351,1022248.8341434886,469746.629447681,699418.5862553023,830414.948034021,665729.4129248182,657477.2697980094,644176.5132148829,352283.7699042572,555960.4198116596,211265.2447602517,103930.11326662787,643370.8595786351,326090.8198535697,720268.7190184501,501805.20275755523,481570.668991565,212826.37181108719,172197.49375394874,366287.0101924118,262790.64637237,654076.2211699156,247322.5698131274,850953.2921765895,802213.8694316614,514754.9678954209,534411.7789585206,4386722.2033122135,2488954.81233967,1854837.5331477341,1156211.3504789963,529880.7019805313,1092295.7068496845,880140.6179768983,616037.5353702264,565497.7339795487,186256.70733554105,326322.87999334786,355378.45091426076,473902.3090662977,422945.8405008593,443701.31021850405,421226.6721760617,381173.6542070157,342719.3739726599,305234.9732479432,237732.9832847128,360734.6362232536,415584.7990911226,349493.230956237,606932.8466238143,654815.0222291511,561125.0160987778,540288.3112933539,845852.1595856381,640175.5443517148,450786.9081295328,734369.6866981584,683522.2465444125,791211.254622924,608034.935753669,603951.5695788317,390607.26159194286,433412.82133321103,607515.3983978046,586310.2917707731,740649.8502032106,4116763.54630323
