name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-70,70-90,90-110,110-130,130-150,150-170,170-190,190-210,210-230,230-250,250-270,270-290,290-310,310-330,330-350,350-370,370-390
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,8884092.740015479,5064887.232922949,6983390.412431697,3131844.9950227384,4145968.2714531175,7723701.164863978,5177317.730986968,16861142.908374883,6823443.392931246,8865592.969129944,5485034.61263796,6471643.6551138675,7594311.15993967,9052517.72575114,10884796.773549566,11850678.325030666,11425983.865551058
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,13076039.236848012,6444202.795310265,5434390.575377191,6526375.655966235,8197198.167145974,7891193.510570095,7412631.682930469,30995716.39649127,9968144.439659243,7539391.525613661,4440771.455098727,7232574.536395532,6473341.701160142,7657214.2810918875,13972706.479758782,9214020.107763786,16763265.181294572
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,10813108.591733286,9627353.780026982,7212284.8374975575,4249595.117163686,7161849.331212875,7916464.3742391765,4960720.766900809,28667909.53206608,7879494.56830818,8973535.99168938,7190429.18215244,4519768.215487618,5090560.4290246535,5537256.418392036,5578407.822009706,9336312.257161386,7306605.354293709
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,17515576.33122827,9298004.863342207,6124946.422132088,6330273.456952311,8051281.535392933,10202647.5160369,9478614.38831599,26880917.285339594,6864556.073865753,7636650.377652141,5397578.011628433,4816402.101165043,5964027.914367667,4713143.784852868,9504643.43161687,8761857.610927455,7608055.942629293
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,11504312.518996913,6237328.615609217,6174760.466174978,5247199.334028964,8837292.67602233,9149277.940283418,8397729.845829718,21589787.03962161,12208016.597156895,7047607.030026215,6866153.893217193,6699851.60753994,7340078.520875597,7972575.50544542,3551138.2173033035,12273151.662254244,6677244.022402825
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,7312282.700842955,9592834.39984095,7322233.162625594,4911282.0203284295,7660380.236258753,6381362.00707617,6845005.012039867,17484554.6023542,9227854.936570562,10503505.148223624,8695967.391280947,6083860.268040965,7201772.147956072,4830875.046736352,7586379.760676976,8647960.617085293,11707943.003822647
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,17270495.747858565,7676700.076445571,6783366.879434964,5839670.15838805,6828600.042187893,6601915.814208907,8301794.828046319,17570967.603650264,8981305.10656997,9153153.354893493,6123020.813998387,6319833.9129763525,8434485.376593418,10884706.886902016,8434906.543848345,12748090.118872086,11473005.883693412
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,5901093.073893293,5154451.890601824,4472040.333514451,5242034.864578098,4681706.988954905,8929275.792595372,7942751.10945769,17798479.576101236,6088395.162287444,7335263.561118891,3577623.5495474325,5496947.948022793,5441295.829959467,5607449.261183789,11054791.1188609,10102497.062387044,8610478.78440184
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,9894476.10557339,6704487.620967037,7566304.112820929,6563386.9234307185,7207891.368668753,6247608.09962671,5795069.369243102,29465400.810407083,8786062.005255498,6871739.702768668,6139858.8035857435,3318794.443509945,5333662.292873728,7916227.74193214,7244673.211052996,12011666.576304425,10176255.040974222
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,14374833.530439338,9460245.064920517,7315371.371658154,4710942.117325052,6707184.29586545,5431337.196863169,8061033.423420258,31538812.85533079,11760586.855812185,6396342.724417739,6423457.138313278,5587012.811727117,5158566.82919774,7159730.752266088,8671844.270940715,8624098.883131187,7550537.727630403
D6d0S1-F0d03-Vc30-MJ001-K01,1,0.03,30.0,J001,1,42.6726746799839,14.3983407976758,24.5629221868324,4.468104241955629,3.9112406058108102,9628570.11983538,5201521.620685595,4782382.423800229,5019900.587060002,5525204.382924441,8514877.246572481,6000240.07814398,18846987.511564087,5026409.425292528,7835347.766828038,6268465.3127473565,5120001.087699065,9404416.90752577,15318426.248437593,11240616.79487893,17543783.712761268,14084418.536639445
