name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-80,80-110,110-140,140-170,170-200,200-230,230-260,260-290,290-320,320-350,350-380,380-400
D6d0S1-F0d03-Vc45-MJ004-K02,1,0.03,45.0,J004,2,40.726827138318,12.4524932560099,25.759899746164198,5.044124137276951,3.86531885294881,20994528.1609298,21534994.892133366,22839024.385860786,20218019.05402551,18233529.302606147,23543035.4928876,20892189.3195229,20861925.70330123,33597357.1440265,38914447.15670578,111044306.19276592,80862533.63597544
D6d0S1-F0d03-Vc45-MJ005-K03,1,0.03,45.0,J005,3,41.5754535575766,13.3011196752684,23.236567558252002,4.64922922401726,3.8587877094201297,21668501.229505744,18892373.09152158,20055188.59556202,20611717.711527973,17441284.14671392,18168646.200189155,15642668.468146147,12732612.623501875,39563707.74020052,49636954.01642995,81260406.03414206,58377583.30411602
D6d0S1-F0d03-Vc45-MJ006-K03,1,0.03,45.0,J006,3,41.124855171641606,12.850521289333502,28.8551335109334,4.91514448773795,3.89758161867807,25289911.42263558,24431365.65065373,15638369.714533975,10516162.696327213,25151385.06219957,18873292.585061707,31459405.604750816,23579352.14296341,44432133.21114736,145933572.37927154,142864885.4302734,106434207.7702472
D6d0S1-F0d03-Vc45-MJ007-K04,1,0.03,45.0,J007,4,44.551887489075,16.2775536067668,26.299550691014105,4.718710174023951,3.8964094941416203,28723750.80174368,25447860.56095727,25183442.33659055,22748133.64709172,18086596.99426636,20776150.097511854,34521602.72133093,31934606.2062374,46081813.88210036,76462289.89720632,149240490.8780961,92849018.022172
D6d0S1-F0d03-Vc45-MJ008-K04,1,0.03,45.0,J008,4,46.14836719468021,17.874033312372,26.0286511517898,4.910684171798232,3.96694675841956,20634533.598640546,29897768.28887169,16928458.539007545,19847790.80067373,23364885.10218287,25877301.98308497,24644390.88123359,27276812.825458616,41345778.5539617,92219775.84992224,108715746.46453474,40508783.37422757
D6d0S1-F0d03-Vc45-MJ009-K05,1,0.03,45.0,J009,5,44.997688551365,16.7233546690569,26.8048611083007,4.941099678020518,3.97640233155236,22984568.47437929,27847350.24656651,14757956.827703824,10676079.24679726,16098830.200625215,20451626.06793277,21661671.114066634,21009559.92874221,44872967.71905111,52556970.04678346,225017362.00223845,84973172.51679629
D6d0S1-F0d03-Vc45-MJ010-K05,1,0.03,45.0,J010,5,45.291551723980206,17.0172178416721,26.2898767891187,4.7407994573167,3.9810504318171502,41477721.291315146,23861428.40814793,24297931.576292325,17022451.853978872,30217066.38873407,27528130.18404048,25804961.560638163,36345260.99316189,60985648.89027162,101801314.96255817,168439516.51904196,104103780.95459962
D6d0S1-F0d03-Vc60-MJ001-K01,1,0.03,60.0,J001,1,42.588187970412704,14.3138540881045,23.627520838903603,4.6556905578092005,3.92908144875826,31805149.859858405,23973196.380186826,23061629.71987408,15483548.887822226,20595004.804646626,30390858.81821882,27950483.79115798,62383301.38865656,74216077.04459803,130532074.36737342,256519643.06848052,95479740.23541977
D6d0S1-F0d03-Vc60-MJ002-K01,1,0.03,60.0,J002,1,43.1635881092278,14.889254226919599,24.495767363653396,4.45675475731078,3.9288402422816002,17455120.98231323,10318469.331119053,12841177.515705187,9625764.163705343,17482426.300252438,13342580.93848204,15131640.831412695,80253202.70718963,66545221.21883613,104102716.7991047,323540650.50270116,133181732.25127216
D6d0S1-F0d03-Vc60-MJ003-K02,1,0.03,60.0,J003,2,46.5481622924193,18.2738284101111,25.0037926704664,4.64870392318248,4.00502156036967,32815952.99265727,18527332.57994171,23928337.91988415,16186141.38011568,18153555.373939388,19611736.84696173,21595716.523476034,152927746.59292522,213290027.0705602,171095051.7658,274512580.7139574,149109170.02107352
D6d0S1-F0d03-Vc60-MJ004-K02,1,0.03,60.0,J004,2,41.4147077354144,13.1403738531063,23.7105222279601,4.34397404000292,3.79396819707232,26485026.733709026,14890169.01883105,21482285.95867754,21320023.22279636,14818011.159148086,21841663.538017023,22270587.842945352,49752056.22112078,97374335.38334212,74259934.93530053,217816485.4212761,135716867.69993463
D6d0S1-F0d03-Vc60-MJ005-K03,1,0.03,60.0,J005,3,42.858121718320795,14.5837878360127,25.59466933537849,4.7486316973749405,3.85563949814101,23816975.21962053,15898542.53440356,21760867.684238248,13113260.357972724,20703519.691447783,26769254.51407317,30326246.41933275,73872799.72846602,74087979.22613072,159255146.9426,257283763.49821985,154125176.05049485
D6d0S1-F0d03-Vc60-MJ006-K03,1,0.03,60.0,J006,3,38.5074002719611,10.233066389652901,26.4835111479677,4.48913253957949,3.6665068705899397,31151955.90008588,20775064.20641557,14899101.110654475,16385753.790551625,17667746.960464604,23574098.395435866,36371849.99274624,108823258.10596272,165316477.578925,339975668.9183084,337361457.3131733,293146458.8852489
