name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,180-190,190-200,200-210,210-220,220-230,230-240,240-250,250-260,260-270,270-280,280-290,290-300,300-310,310-320,320-330,330-340,340-350,350-360,360-370,370-380,380-390,390-400
D6d0S1-F0d03-Vc15-MJ001-K01,1,0.03,15.0,J001,1,42.8019334807269,14.527599598418698,26.5221685321209,4.64039547270511,3.8545452723053395,1830239.00628648,2942331.834280334,1120244.396285257,1503888.9290238684,1464364.6383299497,2165573.4130032407,869270.0716734675,845769.6605170657,1202891.4045319124,903681.8421120072,1909552.216784265,2227665.5963155967,1457561.2268063182,1379178.967329331,5087825.689858343,3903792.602037575,1694677.7334512575,1739120.8204514286,3276848.7670456762,1705749.1148252985,888906.5825425141,2026383.91145862,1725738.1764847888,1609531.0323261484,2049322.964179556,1874546.7127723368,2277073.978409149,2526116.186997801,2738066.7495146184,3149339.192435125,2752788.7559563057,3250001.659358622,3244735.3036533324,2482270.673409589,9978712.421391847
D6d0S1-F0d03-Vc15-MJ002-K01,1,0.03,15.0,J002,1,44.3363767950896,16.0620429127815,29.5740000377918,4.81462188157867,4.01599940517589,2807685.6698368783,4001354.0464362963,2234033.702279882,1259140.8993016272,1315582.2361771327,1443451.055494399,1894782.5263571446,1455906.0195900204,2068589.9154124928,2437980.9168597474,2856221.2804878326,1784607.812216449,1747078.9960513378,1980076.2096190613,8573666.685096528,6949595.949058892,3394114.6122604124,1605781.5348124038,1843871.565135668,1973153.0385098832,939945.082241824,1355454.741862933,2223460.3926491174,1508017.26040686,1576123.5788264922,1665608.9557861362,1676416.186137046,2200437.727572306,4204368.417716159,3051972.404208226,2224599.09615447,2479630.167565522,4825217.689235408,3694459.756488338,9214612.349851076
D6d0S1-F0d03-Vc15-MJ003-K02,1,0.03,15.0,J003,2,42.690253484845705,14.415919602537599,24.181551194993897,4.291056648455649,3.82159082078025,1958978.233788062,3580932.8540231087,2188342.20726904,2723495.609004825,2542692.513128125,1593719.1747330348,1196464.6921372754,931180.0799780148,1077980.9724478472,2538632.31590632,1430803.3978261403,2535950.4769361927,1304168.483953391,1188097.5666910294,8507711.84765062,6586627.3087531375,1798430.9632969543,2268992.912907978,3822796.074197482,767620.3488687606,1899243.2856273297,2157271.3018862624,1191661.6941166522,1113224.2316509928,1585866.4639551397,1159359.0198456158,1373181.3296610892,1672394.9096906313,1304860.2944474071,1545396.7325213584,2607475.9110035184,2296420.7986669056,1658422.883312655,1996687.564984389,9810769.950649088
D6d0S1-F0d03-Vc15-MJ004-K02,1,0.03,15.0,J004,2,41.969658378047,13.6953244957389,29.9096312261482,4.3642423781768,3.70734747730452,4029452.4247516487,5210131.92749342,2388841.3798102173,2390950.7576010185,1898320.647157173,1211095.900420377,1257618.6722735716,2095220.2677827813,2407756.8986480944,1683641.0904396153,1859259.872514152,3335569.3768593445,2744746.7260099216,2032002.979437784,5053311.243850577,8921053.08830775,1584677.9073733068,2112868.040086194,2282271.4986111973,1612314.0743075125,1356550.8385772659,1480772.6716610426,1929175.38947466,1011783.3160223631,2284366.6536348327,782330.3430330559,1175828.1064776,1357953.1679661523,3099838.0990575813,1704069.5064160617,1590240.986226404,2995430.9523164225,2110345.1243372317,1751789.1715486338,5834670.251950576
D6d0S1-F0d03-Vc15-MJ005-K03,1,0.03,15.0,J005,3,41.0671001256123,12.7927662433042,28.4139676805612,4.476722991121268,3.74299560080167,3648486.0482146367,2885601.1463073613,2142330.6951198997,1028037.9834306692,1936161.666942261,1213010.6046207792,1250894.4122279263,1374106.7363826102,2506921.0859165303,2117990.0922874617,1751307.6048782247,2881176.3183123693,2868682.7492353325,1411612.139653816,6276647.658528457,4723320.549001764,2040568.8097847959,4079958.4360981863,1819668.6886425696,1897085.0429641497,2009103.9709196244,1899106.289890608,1558986.0945453912,1984215.0581811809,1833513.3516259184,1974672.757412296,1710160.5857873175,2279425.4502033168,783292.0166410154,1026689.909417002,3484110.766958338,3406698.656810468,1863139.383320528,1556159.5603043437,5777656.7868607575
D6d0S1-F0d03-Vc15-MJ006-K03,1,0.03,15.0,J006,3,40.2346883932399,11.960354510931802,25.898978281050702,4.36188973805906,3.7490041648297594,1435780.8930059178,2502744.9247733243,1801146.320527027,3321544.431574508,2202062.2969155707,1566868.0817805424,845772.4648364773,1735234.6713701312,1799621.4533845882,2640067.38999056,1473761.058680928,1793441.364018349,1894966.9775959803,1685192.04175419,3210137.687562772,5596892.482230415,2139787.4165745527,2729190.048386226,3233729.4622017043,2420450.701242696,3071972.71032943,1412748.5547787722,1420921.5053578871,1676691.690230991,1827000.4235007,1890124.9105264125,1633434.388992451,867833.5263590737,1343247.548247678,2552891.8911340428,2579432.0094563626,1939882.262008873,2400422.5151627613,3645593.4089267175,10527437.129329933
D6d0S1-F0d03-Vc15-MJ007-K04,1,0.03,15.0,J007,4,45.539710220088104,17.265376337779998,31.8055139170376,5.05137252329444,4.02364977550171,4662268.947525961,4569122.643433705,3002914.944062875,1352620.4512761135,1576071.519420335,1820733.314476891,1167457.1917827737,1754254.3279312332,1661862.8945853384,1980719.4659713304,1561347.556071231,1942250.4340487143,2395830.6922829887,2148768.9537233403,3653112.057199489,6044378.963006212,1864625.889717544,3097847.8149858746,3639140.958706226,951517.09000909,1490757.92691774,1689139.1566645445,1032549.7077778244,2262541.8979712455,2126974.35846902,2254002.2813007943,2632875.1590128103,3095086.0031661973,2675823.8327023108,2438000.336065537,2181135.826899758,4618459.830416175,3037569.4940318908,2909075.4166505863,18443265.07250739
D6d0S1-F0d03-Vc15-MJ008-K04,1,0.03,15.0,J008,4,46.632752390804995,18.3584185084968,29.0734647124996,5.12325690735867,4.09401931718558,1586011.36701614,1442039.039024192,1974387.8453316584,778350.0564834853,1008187.1035700359,1479897.054636681,1414615.0853312146,1236338.402839793,1485234.7190428032,1179925.5922894485,2259644.6496830084,2330031.3072201624,2512764.7436345117,1632930.586930006,4668986.062697365,4536993.101031,1071713.7549647002,2115632.020319107,2380023.10443818,1435758.5111002247,1125894.008131088,764426.8224271878,1257938.326550079,2028726.3819493847,1516716.4740025038,1323356.0934102815,1808965.806036816,1305036.617653663,2805442.2214787183,2775636.8066176325,2970234.941349911,2159786.509883759,1861201.2356814442,2593605.0325484565,4271761.428094164
D6d0S1-F0d03-Vc15-MJ009-K05,1,0.03,15.0,J009,5,44.1888264079685,15.9144925256604,28.26070204710249,4.85054104348816,3.9923769645953695,1766536.9805078947,3295926.0040724594,1650188.5940861157,1979880.386731385,2362396.6912497235,1431705.749668294,1475194.6973298388,2148924.457192244,1619532.9859537291,2166558.4709745804,1017884.3634264488,2118474.0432866514,1115265.3773187532,1818663.524919556,7793029.01021878,7143752.263693468,2189300.395020022,2237471.2261042087,2186686.0856339885,1385903.0106355615,1776734.3920735375,1491396.9745355218,475626.6889384435,1191175.0499030438,1963170.95825092,823908.6193272739,1633657.1609792581,2435360.0924897455,1199388.902293291,2487426.633697207,3374851.4191690595,2793726.5954737486,2154157.875026057,2952910.911704052,19512946.43762644
D6d0S1-F0d03-Vc15-MJ010-K05,1,0.03,15.0,J010,5,41.2981287732539,13.023794890945801,25.5536031757063,4.29919536075608,3.81016247818873,2401298.514213891,5040841.004796834,2296797.643926173,2790272.6103440668,2324560.1334007983,1403169.613756282,628288.8855628157,1738203.7753471576,2093525.5530727662,1383883.2885769643,966109.7659054786,1830784.2275401368,1977436.0652271316,2579199.892234263,9825805.462671734,7307436.267255343,3208654.9104966125,2772751.763337249,2340631.313791881,1013491.0063920652,1623250.8049698009,1647793.3554799876,1562897.9387494042,1247846.1686111821,1188712.1539692834,1416105.5084077509,2192359.7538013738,1853784.7378559303,2172079.131244977,2176093.990535491,2785623.8770870403,1904083.2746706216,1632029.6058825075,2368944.709951873,9239427.121220408
