name,S,posmak,brzina_rezanja,uzorak,komad,fill,split,opseg,maxd,avgd,50-90,90-130,130-170,170-210,210-250,250-290,290-330,330-370,370-400
D6d0S1-F0d03-Vc60-MJ006-K03,1,0.03,60.0,J006,3,38.5074002719611,10.233066389652901,26.4835111479677,4.48913253957949,3.6665068705899397,48816699.4753173,30361347.72064341,26303212.69111458,32521570.49809276,60313065.94971378,154630705.16848403,480254171.9468913,653886915.8637153,542624665.3994462
D6d0S1-F0d03-Vc60-MJ007-K04,1,0.03,60.0,J007,4,42.6396660669338,14.3653321846257,25.7070936260549,4.55711699744285,3.7911016814895295,45749384.49504224,42681700.87879872,26603206.117511224,36461043.06546292,50003485.30534424,107565104.78062972,142936829.43445534,236563126.0417333,292029245.9216358
D6d0S1-F0d03-Vc60-MJ008-K04,1,0.03,60.0,J008,4,48.1632067027245,19.8888728204164,26.5925155043155,4.95093464365176,4.00159344853167,69081803.11907049,54758824.75045207,48844372.56036285,61004210.39143461,55560840.61284578,116706192.20026338,150266399.18325144,558740214.3271571,544039770.7715589
D6d0S1-F0d03-Vc60-MJ009-K05,1,0.03,60.0,J009,5,43.09937466826921,14.825040785961098,24.847609058763197,4.41795329438129,3.8958695295094095,42479384.56932362,32725695.699379124,34375980.21906325,25408935.18720095,55435376.52833007,133421315.68284789,202444002.04810664,314308384.4045055,522309999.3601932
D6d0S1-F0d03-Vc60-MJ010-K05,1,0.03,60.0,J010,5,46.003649040179006,17.72931515787089,28.4063779950811,5.190916534342518,4.037812929414169,50720584.61364943,40383486.56708827,31033672.04011111,38225982.09966151,57448809.7538303,99095944.24201292,270865619.1091806,303265055.38355213,395023527.2346824
D6d0S1-F0d06-Vc15-MJ001-K01,1,0.06,15.0,J001,1,42.8036432501761,14.529309367867901,24.5077962491485,4.6642408593459805,3.99240938208475,25574139.544373386,29859281.77321895,32539134.036882143,55363701.96992366,28756553.43716204,27790955.19741505,19385429.376154274,30565306.90297665,30468074.297414064
D6d0S1-F0d06-Vc15-MJ002-K01,1,0.06,15.0,J002,1,39.9531068546443,11.6787729723361,23.738271676034106,4.5012094228517805,3.67966351849786,23570386.12811462,21085964.612831164,22807088.35976141,47865154.80428729,34805207.50230163,24193454.568301763,21338503.96754308,26956072.759790976,33701014.93369497
D6d0S1-F0d06-Vc15-MJ003-K02,1,0.06,15.0,J003,2,40.7247461815275,12.4504122992193,23.22902166204,4.34693020134719,3.74030679411937,45617876.33741146,37198247.86200762,30690363.358015694,112442022.25513709,35380152.25122383,23850104.419997625,19961606.041043,38991267.65489575,45477831.94374546
D6d0S1-F0d06-Vc15-MJ004-K02,1,0.06,15.0,J004,2,44.1385780321432,15.8642441498351,24.87332543060851,4.91079626878108,3.92807770547296,26966368.08613253,20336730.48799604,24427538.73195154,53336783.33756435,26706911.907442804,24614453.84794692,22177081.67689849,30484478.300266005,38812857.70031308
D6d0S1-F0d06-Vc15-MJ005-K03,1,0.06,15.0,J005,3,42.002226844921,13.7278929626128,26.733501026001395,4.70989770637651,3.79935212733842,45115086.0317604,19416337.67984818,25159007.54936789,93769843.45659296,37892432.06081144,15388609.003889935,19324757.01302144,35948993.52086645,37989599.47132895
